stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
000000000000000000dz,000000000000000000br,000000000000000000dz,000000000000000000dz,543,503,,00000000000000000001,3,,,3
00000000000000000124,000000000000000000b5,00000000000000000124,000000000000000000os,1412,1372,,00000000000000000002,4,,,4
000000000000000000os,0000000000000000009c,000000000000000000os,00000000000000000099,932,892,,00000000000000000001,2,,,2
00000000000000000099,00000000000000000033,00000000000000000099,000000000000000000gv,373,333,,00000000000000000002,5,,,5
000000000000000001g4,000000000000000000aa,000000000000000000gv,000000000000000000i2,1916,1876,,00000000000000000001,0,,,0
000000000000000000gv,000000000000000000ez,000000000000000000i2,000000000000000000to,647,607,,00000000000000000002,1,,,1
0000000000000000015e,00000000000000000037,000000000000000000to,00000000000000000036,1530,1490,,00000000000000000001,3,,,3
000000000000000000i2,0000000000000000001b,00000000000000000117,000000000000000000mk,690,650,,00000000000000000002,4,,,4
000000000000000000to,0000000000000000005x,00000000000000000036,000000000000000000ud,1108,1068,,00000000000000000001,2,,,2
00000000000000000117,000000000000000000dp,000000000000000000mk,000000000000000000tm,1379,1339,,00000000000000000002,5,,,5
00000000000000000036,0000000000000000008a,000000000000000000ud,000000000000000000o4,154,114,,00000000000000000001,0,,,0
000000000000000000mk,0000000000000000004s,000000000000000000tm,000000000000000000wp,852,812,,00000000000000000002,1,,,1
000000000000000000ud,000000000000000000c4,000000000000000000o4,000000000000000000lh,1133,1093,,00000000000000000001,3,,,3
000000000000000001ll,0000000000000000006l,000000000000000000wp,0000000000000000005r,1106,1066,,00000000000000000002,4,,,4
000000000000000001pr,00000000000000000030,000000000000000000lh,0000000000000000001r,908,868,,00000000000000000001,2,,,2
000000000000000000tm,000000000000000000a0,0000000000000000005r,000000000000000000qt,1217,1177,,00000000000000000002,5,,,5
000000000000000000o4,0000000000000000007r,0000000000000000001r,000000000000000000pm,1658,1618,,00000000000000000001,0,,,0
000000000000000000wp,0000000000000000005b,000000000000000000qt,0000000000000000004y,813,773,,00000000000000000002,1,,,1
000000000000000001jb,00000000000000000021,000000000000000000pm,000000000000000000dr,1570,1530,,00000000000000000001,3,,,3
0000000000000000018y,0000000000000000000c,0000000000000000010d,0000000000000000000j,247,207,,00000000000000000002,4,,,4
000000000000000000lh,0000000000000000008o,0000000000000000004y,000000000000000000v5,103,63,,00000000000000000001,2,,,2
000000000000000001o8,00000000000000000014,000000000000000000dr,000000000000000000e4,1708,1668,,00000000000000000002,5,,,5
0000000000000000016i,0000000000000000000v,0000000000000000000j,00000000000000000073,1480,1440,,00000000000000000001,0,,,0
0000000000000000005r,0000000000000000008z,000000000000000000v5,0000000000000000007q,1005,965,,00000000000000000002,1,,,1
000000000000000001pa,00000000000000000092,000000000000000000e4,000000000000000000i9,962,922,,00000000000000000001,3,,,3
0000000000000000001r,000000000000000000b8,000000000000000000y8,000000000000000000kx,1809,1769,,00000000000000000002,4,,,4
000000000000000001ac,000000000000000000bi,00000000000000000073,0000000000000000006o,1349,1309,,00000000000000000001,2,,,2
000000000000000001qg,000000000000000000ab,0000000000000000007q,000000000000000000vy,218,178,,00000000000000000002,5,,,5
000000000000000001v5,000000000000000000fp,000000000000000000i9,0000000000000000009q,535,495,,00000000000000000001,0,,,0
000000000000000001xl,000000000000000000fo,000000000000000000kx,000000000000000000ho,1931,1891,,00000000000000000002,1,,,1
00000000000000000140,000000000000000000ey,0000000000000000006o,000000000000000000k1,1532,1492,,00000000000000000001,3,,,3
000000000000000000qt,000000000000000000cg,000000000000000000vy,000000000000000000li,59,19,,00000000000000000002,4,,,4
000000000000000001mc,000000000000000000f9,0000000000000000009q,000000000000000000xj,1161,1121,,00000000000000000001,2,,,2
000000000000000000pm,00000000000000000044,000000000000000000ho,000000000000000000wc,548,508,,00000000000000000002,5,,,5
000000000000000001d5,0000000000000000004d,000000000000000000k1,000000000000000000x9,1890,1850,,00000000000000000001,0,,,0
0000000000000000010d,0000000000000000001a,00000000000000000122,000000000000000000fy,1904,1864,,00000000000000000002,1,,,1
0000000000000000004y,00000000000000000057,000000000000000000li,000000000000000000wy,1272,1232,,00000000000000000001,3,,,3
000000000000000000dr,0000000000000000007z,000000000000000000xj,000000000000000000vk,295,255,,00000000000000000002,4,,,4
000000000000000001gj,000000000000000000b3,000000000000000000wc,000000000000000000s1,1566,1526,,00000000000000000001,2,,,2
0000000000000000015g,0000000000000000007w,000000000000000000x9,000000000000000000a1,318,278,,00000000000000000002,5,,,5
0000000000000000000j,0000000000000000008x,000000000000000000fy,00000000000000000014,1700,1660,,00000000000000000001,0,,,0
000000000000000000v5,0000000000000000007m,000000000000000000wy,0000000000000000002y,697,657,,00000000000000000002,1,,,1
000000000000000000e4,0000000000000000001p,000000000000000000vk,000000000000000000lo,793,753,,00000000000000000001,3,,,3
000000000000000001fe,000000000000000000g1,000000000000000000s1,0000000000000000003l,280,240,,00000000000000000002,4,,,4
000000000000000001fs,000000000000000000g2,0000000000000000011v,0000000000000000005e,1190,1150,,00000000000000000001,2,,,2
000000000000000000y8,0000000000000000006t,000000000000000000a1,000000000000000000va,390,350,,00000000000000000002,5,,,5
00000000000000000073,0000000000000000008s,000000000000000000zp,000000000000000000nd,676,636,,00000000000000000001,0,,,0
0000000000000000016e,00000000000000000040,00000000000000000014,000000000000000000oz,761,721,,00000000000000000002,1,,,1
000000000000000001t3,000000000000000000dc,0000000000000000002y,000000000000000000qp,1410,1370,,00000000000000000001,3,,,3
0000000000000000007q,000000000000000000ac,000000000000000000lo,000000000000000000w6,814,774,,00000000000000000002,4,,,4
000000000000000001o6,0000000000000000006f,0000000000000000003l,0000000000000000008a,1247,1207,,00000000000000000001,2,,,2
000000000000000001a4,0000000000000000000g,0000000000000000005e,0000000000000000003m,1204,1164,,00000000000000000002,5,,,5
000000000000000000i9,000000000000000000bk,000000000000000000va,000000000000000000gi,1926,1886,,00000000000000000001,0,,,0
000000000000000000kx,000000000000000000b6,0000000000000000012k,000000000000000000op,1237,1197,,00000000000000000002,1,,,1
000000000000000001pd,000000000000000000a2,000000000000000000nd,000000000000000000jr,614,574,,00000000000000000001,3,,,3
0000000000000000006o,00000000000000000097,000000000000000000oz,000000000000000000l4,1711,1671,,00000000000000000002,4,,,4
000000000000000001t9,000000000000000000eu,0000000000000000012l,0000000000000000008i,1681,1641,,00000000000000000001,2,,,2
000000000000000000vy,000000000000000000fc,000000000000000000qp,000000000000000000dx,1226,1186,,00000000000000000002,5,,,5
0000000000000000009q,0000000000000000006a,000000000000000000w6,00000000000000000080,1176,1136,,00000000000000000001,0,,,0
000000000000000000ho,000000000000000000bl,0000000000000000011g,0000000000000000005d,1691,1651,,00000000000000000002,1,,,1
000000000000000001tt,000000000000000000al,0000000000000000008a,000000000000000000bo,1049,1009,,00000000000000000001,3,,,3
000000000000000000k1,00000000000000000079,0000000000000000003m,000000000000000000rq,1703,1663,,00000000000000000002,4,,,4
000000000000000001xr,000000000000000000bq,000000000000000000gi,000000000000000000ux,1403,1363,,00000000000000000001,2,,,2
00000000000000000122,000000000000000000es,000000000000000000op,0000000000000000002r,401,361,,00000000000000000002,5,,,5
000000000000000000li,000000000000000000bw,000000000000000000jr,000000000000000000aa,1325,1285,,00000000000000000001,0,,,0
000000000000000001uz,0000000000000000000t,000000000000000000l4,000000000000000000q3,1497,1457,,00000000000000000002,1,,,1
000000000000000001nr,000000000000000000c1,0000000000000000008i,000000000000000000ma,1601,1561,,00000000000000000001,3,,,3
000000000000000001uj,0000000000000000004f,000000000000000000dx,0000000000000000001f,80,40,,00000000000000000002,4,,,4
000000000000000000xj,0000000000000000002q,000000000000000000zg,000000000000000000pf,146,106,,00000000000000000001,2,,,2
000000000000000000wc,000000000000000000eq,00000000000000000080,00000000000000000098,1828,1788,,00000000000000000002,5,,,5
000000000000000001ge,0000000000000000002d,0000000000000000005d,0000000000000000001c,820,780,,00000000000000000001,0,,,0
000000000000000000x9,0000000000000000005c,0000000000000000012c,0000000000000000006e,169,129,,00000000000000000002,1,,,1
000000000000000000fy,000000000000000000ds,0000000000000000011w,0000000000000000001y,1909,1869,,00000000000000000001,3,,,3
