route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
0000000000000000000o,00000000000000000001,0000000000000000000o,0000000000000000000o,0000000000000000000o,1,0000000000000000000o,0000000000000000000o,00000000000000000004
0000000000000000000k,00000000000000000002,0000000000000000000k,0000000000000000000k,0000000000000000000k,2,0000000000000000000k,0000000000000000000k,00000000000000000005
0000000000000000000c,00000000000000000001,0000000000000000000c,0000000000000000000c,0000000000000000000c,1,0000000000000000000c,0000000000000000000c,00000000000000000003
0000000000000000000a,00000000000000000002,0000000000000000000a,0000000000000000000a,0000000000000000000a,2,0000000000000000000a,0000000000000000000a,00000000000000000006
00000000000000000006,00000000000000000001,00000000000000000006,00000000000000000006,00000000000000000006,1,00000000000000000006,00000000000000000006,00000000000000000001
00000000000000000005,00000000000000000002,00000000000000000005,00000000000000000005,00000000000000000005,2,00000000000000000005,00000000000000000005,00000000000000000002
00000000000000000003,00000000000000000001,00000000000000000003,00000000000000000003,00000000000000000003,1,00000000000000000003,00000000000000000003,00000000000000000004
0000000000000000000l,00000000000000000002,0000000000000000000l,0000000000000000000l,0000000000000000000l,2,0000000000000000000l,0000000000000000000l,00000000000000000005
0000000000000000000j,00000000000000000001,0000000000000000000j,0000000000000000000j,0000000000000000000j,1,0000000000000000000j,0000000000000000000j,00000000000000000003
0000000000000000000m,00000000000000000002,0000000000000000000m,0000000000000000000m,0000000000000000000m,2,0000000000000000000m,0000000000000000000m,00000000000000000006
0000000000000000000n,00000000000000000001,0000000000000000000n,0000000000000000000n,0000000000000000000n,1,0000000000000000000n,0000000000000000000n,00000000000000000001
0000000000000000000g,00000000000000000002,0000000000000000000g,0000000000000000000g,0000000000000000000g,2,0000000000000000000g,0000000000000000000g,00000000000000000002
0000000000000000000b,00000000000000000001,0000000000000000000b,0000000000000000000b,0000000000000000000b,1,0000000000000000000b,0000000000000000000b,00000000000000000004
0000000000000000000q,00000000000000000002,0000000000000000000q,0000000000000000000q,0000000000000000000q,2,0000000000000000000q,0000000000000000000q,00000000000000000005
00000000000000000008,00000000000000000001,00000000000000000008,00000000000000000008,00000000000000000008,1,00000000000000000008,00000000000000000008,00000000000000000003
0000000000000000000h,00000000000000000002,0000000000000000000h,0000000000000000000h,0000000000000000000h,2,0000000000000000000h,0000000000000000000h,00000000000000000006
0000000000000000000i,00000000000000000001,0000000000000000000i,0000000000000000000i,0000000000000000000i,1,0000000000000000000i,0000000000000000000i,00000000000000000001
0000000000000000000p,00000000000000000002,0000000000000000000p,0000000000000000000p,0000000000000000000p,2,0000000000000000000p,0000000000000000000p,00000000000000000002
0000000000000000000d,00000000000000000001,0000000000000000000d,0000000000000000000d,0000000000000000000d,1,0000000000000000000d,0000000000000000000d,00000000000000000004
0000000000000000000f,00000000000000000002,0000000000000000000f,0000000000000000000f,0000000000000000000f,2,0000000000000000000f,0000000000000000000f,00000000000000000005
00000000000000000004,00000000000000000001,00000000000000000004,00000000000000000004,00000000000000000004,1,00000000000000000004,00000000000000000004,00000000000000000003
00000000000000000009,00000000000000000002,00000000000000000009,00000000000000000009,00000000000000000009,2,00000000000000000009,00000000000000000009,00000000000000000006
00000000000000000002,00000000000000000001,00000000000000000002,00000000000000000002,00000000000000000002,1,00000000000000000002,00000000000000000002,00000000000000000001
0000000000000000000e,00000000000000000002,0000000000000000000e,0000000000000000000e,0000000000000000000e,2,0000000000000000000e,0000000000000000000e,00000000000000000002
00000000000000000001,00000000000000000001,00000000000000000001,00000000000000000001,00000000000000000001,1,00000000000000000001,00000000000000000001,00000000000000000004
00000000000000000007,00000000000000000002,00000000000000000007,00000000000000000007,00000000000000000007,2,00000000000000000007,00000000000000000007,00000000000000000005
