service_id,date,exception_type
0000000000000000000a,2017-01-30,3
00000000000000000006,2017-01-26,2
00000000000000000005,2017-01-18,0
00000000000000000003,2017-02-02,1
00000000000000000008,2017-01-16,3
00000000000000000004,2017-01-12,2
00000000000000000009,2017-01-11,0
00000000000000000002,2017-01-09,1
00000000000000000001,2017-01-27,3
00000000000000000007,2017-01-25,2
0000000000000000000a,2017-01-28,0
00000000000000000006,2017-01-29,1
00000000000000000005,2017-01-22,3
00000000000000000003,2017-01-17,2
00000000000000000008,2017-02-01,0
00000000000000000004,2017-01-14,1
00000000000000000009,2017-01-23,3
00000000000000000002,2017-01-24,2
00000000000000000001,2017-01-31,0
00000000000000000007,2017-01-19,1
0000000000000000000a,2017-01-21,3
00000000000000000006,2017-01-10,2
00000000000000000005,2017-02-03,0
00000000000000000003,2017-01-15,1
00000000000000000008,2017-01-08,3
00000000000000000004,2017-01-20,2
00000000000000000009,2017-01-07,0
00000000000000000002,2017-01-13,1
00000000000000000001,2017-01-30,3
00000000000000000007,2017-01-26,2
0000000000000000000a,2017-01-18,0
00000000000000000006,2017-02-02,1
00000000000000000005,2017-01-16,3
00000000000000000003,2017-01-12,2
00000000000000000008,2017-01-11,0
00000000000000000004,2017-01-09,1
00000000000000000009,2017-01-27,3
00000000000000000002,2017-01-25,2
00000000000000000001,2017-01-28,0
00000000000000000007,2017-01-29,1
0000000000000000000a,2017-01-22,3
00000000000000000006,2017-01-17,2
00000000000000000005,2017-02-01,0
00000000000000000003,2017-01-14,1
00000000000000000008,2017-01-23,3
00000000000000000004,2017-01-24,2
00000000000000000009,2017-01-31,0
00000000000000000002,2017-01-19,1
00000000000000000001,2017-01-21,3
00000000000000000007,2017-01-10,2
0000000000000000000a,2017-02-03,0
00000000000000000006,2017-01-15,1
00000000000000000005,2017-01-08,3
00000000000000000003,2017-01-20,2
00000000000000000008,2017-01-07,0
00000000000000000004,2017-01-13,1
00000000000000000009,2017-01-30,3
00000000000000000002,2017-01-26,2
00000000000000000001,2017-01-18,0
00000000000000000007,2017-02-02,1
0000000000000000000a,2017-01-16,3
00000000000000000006,2017-01-12,2
00000000000000000005,2017-01-11,0
00000000000000000003,2017-01-09,1
00000000000000000008,2017-01-27,3
00000000000000000004,2017-01-25,2
00000000000000000009,2017-01-28,0
00000000000000000002,2017-01-29,1
00000000000000000001,2017-01-22,3
00000000000000000007,2017-01-17,2
0000000000000000000a,2017-02-01,0
00000000000000000006,2017-01-14,1
00000000000000000005,2017-01-23,3
00000000000000000003,2017-01-24,2
00000000000000000008,2017-01-31,0
00000000000000000004,2017-01-19,1
00000000000000000009,2017-01-21,3
00000000000000000002,2017-01-10,2
00000000000000000001,2017-02-03,0
00000000000000000007,2017-01-15,1
0000000000000000000a,2017-01-08,3
00000000000000000006,2017-01-20,2
00000000000000000005,2017-01-07,0
00000000000000000003,2017-01-13,1
00000000000000000008,2017-01-30,3
00000000000000000004,2017-01-26,2
00000000000000000009,2017-01-18,0
00000000000000000002,2017-02-02,1
00000000000000000001,2017-01-16,3
00000000000000000007,2017-01-12,2
0000000000000000000a,2017-01-11,0
00000000000000000006,2017-01-09,1
00000000000000000005,2017-01-27,3
00000000000000000003,2017-01-25,2
00000000000000000008,2017-01-28,0
00000000000000000004,2017-01-29,1
00000000000000000009,2017-01-22,3
00000000000000000002,2017-01-17,2
00000000000000000001,2017-02-01,0
00000000000000000007,2017-01-14,1
0000000000000000000a,2017-01-23,3
00000000000000000006,2017-01-24,2
00000000000000000005,2017-01-31,0
00000000000000000003,2017-01-19,1
00000000000000000008,2017-01-21,3
00000000000000000004,2017-01-10,2
00000000000000000009,2017-02-03,0
00000000000000000002,2017-01-15,1
00000000000000000001,2017-01-08,3
00000000000000000007,2017-01-20,2
0000000000000000000a,2017-01-07,0
00000000000000000006,2017-01-13,1
00000000000000000005,2017-01-30,3
00000000000000000003,2017-01-26,2
00000000000000000008,2017-01-18,0
00000000000000000004,2017-02-02,1
00000000000000000009,2017-01-16,3
00000000000000000002,2017-01-12,2
00000000000000000001,2017-01-11,0
00000000000000000007,2017-01-09,1
0000000000000000000a,2017-01-27,3
00000000000000000006,2017-01-25,2
00000000000000000005,2017-01-28,0
00000000000000000003,2017-01-29,1
00000000000000000008,2017-01-22,3
00000000000000000004,2017-01-17,2
00000000000000000009,2017-02-01,0
00000000000000000002,2017-01-14,1
00000000000000000001,2017-01-23,3
00000000000000000007,2017-01-24,2
0000000000000000000a,2017-01-31,0
00000000000000000006,2017-01-19,1
00000000000000000005,2017-01-21,3
00000000000000000003,2017-01-10,2
00000000000000000008,2017-02-03,0
00000000000000000004,2017-01-15,1
00000000000000000009,2017-01-08,3
00000000000000000002,2017-01-20,2
00000000000000000001,2017-01-07,0
00000000000000000007,2017-01-13,1
