trip_id,start_time,end_time,headway_secs,exact_times
00000000000000000033,00000000000000000014,00000000000000000014,204,0
00000000000000000037,00000000000000000015,00000000000000000015,200,0
0000000000000000001b,0000000000000000000o,0000000000000000000o,192,0
0000000000000000005x,0000000000000000000k,0000000000000000000k,207,0
0000000000000000004s,00000000000000000013,00000000000000000013,190,0
0000000000000000006l,0000000000000000000c,0000000000000000000c,186,0
00000000000000000030,0000000000000000000r,0000000000000000000r,218,0
0000000000000000005b,0000000000000000000a,0000000000000000000a,185,0
00000000000000000021,00000000000000000006,00000000000000000006,215,0
0000000000000000000c,00000000000000000016,00000000000000000016,183,0
00000000000000000014,00000000000000000012,00000000000000000012,201,0
0000000000000000000v,00000000000000000005,00000000000000000018,199,0
00000000000000000044,0000000000000000000z,00000000000000000005,212,0
0000000000000000004d,00000000000000000003,0000000000000000000z,202,0
0000000000000000001a,0000000000000000000l,00000000000000000017,203,0
00000000000000000057,0000000000000000000j,00000000000000000003,196,0
0000000000000000001p,0000000000000000000w,0000000000000000000l,191,0
0000000000000000006t,0000000000000000000m,0000000000000000000j,214,0
00000000000000000040,0000000000000000000n,0000000000000000000w,216,0
0000000000000000006f,0000000000000000000g,0000000000000000000m,206,0
0000000000000000000g,0000000000000000000b,0000000000000000000n,210,0
0000000000000000006a,0000000000000000000y,0000000000000000000g,188,0
0000000000000000000t,00000000000000000010,0000000000000000000b,197,0
0000000000000000004f,0000000000000000000q,0000000000000000000y,198,0
0000000000000000002q,0000000000000000000u,00000000000000000010,205,0
0000000000000000002d,00000000000000000008,0000000000000000000q,193,0
0000000000000000005c,0000000000000000000h,0000000000000000000u,211,0
0000000000000000003f,0000000000000000000i,00000000000000000008,195,0
0000000000000000004r,0000000000000000000p,0000000000000000000h,184,0
0000000000000000002x,0000000000000000000d,0000000000000000000i,208,0
0000000000000000000j,0000000000000000000v,0000000000000000000p,189,0
0000000000000000002r,0000000000000000000f,0000000000000000000d,217,0
0000000000000000002j,00000000000000000004,0000000000000000000v,182,0
00000000000000000047,0000000000000000000s,0000000000000000000f,194,0
0000000000000000004n,00000000000000000009,00000000000000000004,213,0
0000000000000000000b,00000000000000000011,0000000000000000000s,209,0
0000000000000000006p,00000000000000000002,00000000000000000009,181,0
