trip_id,start_time,end_time,headway_secs,exact_times
000000000000000002op,000000000000000000dz,000000000000000000dz,856,0
0000000000000000041j,000000000000000000os,000000000000000000os,603,0
0000000000000000038t,00000000000000000099,00000000000000000099,1088,0
000000000000000003jg,000000000000000000gv,000000000000000000gv,581,0
000000000000000000dz,000000000000000000i2,000000000000000000i2,516,0
000000000000000002ls,00000000000000000036,000000000000000000to,844,0
000000000000000002t2,000000000000000000mk,00000000000000000036,291,0
000000000000000003gv,000000000000000000o4,000000000000000000mk,1048,0
000000000000000003vj,000000000000000000lh,000000000000000000ud,550,0
000000000000000004qy,0000000000000000005r,000000000000000000tm,719,0
0000000000000000026q,0000000000000000001r,000000000000000000o4,1077,0
000000000000000003ph,000000000000000000qt,000000000000000000lh,295,0
000000000000000002jn,000000000000000000pm,0000000000000000005r,227,0
000000000000000003h8,0000000000000000004y,0000000000000000001r,393,0
000000000000000004gu,000000000000000000dr,000000000000000000qt,673,0
00000000000000000124,0000000000000000000j,000000000000000000pm,890,0
000000000000000000os,000000000000000000e4,0000000000000000004y,478,0
00000000000000000201,00000000000000000073,000000000000000000dr,865,0
00000000000000000282,0000000000000000007q,0000000000000000000j,837,0
00000000000000000418,000000000000000000i9,000000000000000000e4,1118,0
000000000000000004l2,000000000000000000kx,00000000000000000073,352,0
00000000000000000099,0000000000000000006o,0000000000000000007q,616,0
000000000000000002ll,0000000000000000009q,000000000000000000i9,417,0
0000000000000000026k,000000000000000000ho,000000000000000000kx,288,0
0000000000000000049o,000000000000000000k1,0000000000000000006o,970,0
000000000000000004r8,000000000000000000li,0000000000000000009q,540,0
000000000000000002n4,000000000000000000fy,000000000000000000ho,459,0
000000000000000001g4,000000000000000000s1,000000000000000000k1,371,0
000000000000000000gv,000000000000000000a1,000000000000000000li,1110,0
000000000000000004gw,00000000000000000014,000000000000000000fy,253,0
0000000000000000015e,0000000000000000002y,000000000000000000s1,1069,0
000000000000000002d4,000000000000000000lo,000000000000000000a1,1096,0
000000000000000000i2,0000000000000000003l,00000000000000000014,789,0
000000000000000000to,0000000000000000005e,0000000000000000002y,879,0
000000000000000002ai,000000000000000000nd,000000000000000000lo,192,0
000000000000000003xz,000000000000000000oz,0000000000000000003l,492,0
00000000000000000117,000000000000000000qp,0000000000000000005e,220,0
00000000000000000036,0000000000000000008a,000000000000000000nd,211,0
0000000000000000027n,0000000000000000003m,000000000000000000oz,986,0
000000000000000002co,000000000000000000gi,000000000000000000qp,956,0
00000000000000000224,000000000000000000op,0000000000000000008a,1085,0
000000000000000000mk,000000000000000000jr,0000000000000000003m,503,0
000000000000000003jq,000000000000000000l4,000000000000000000gi,506,0
000000000000000000ud,0000000000000000008i,000000000000000000op,584,0
000000000000000003fh,000000000000000000dx,000000000000000000jr,594,0
000000000000000001ll,00000000000000000080,000000000000000000l4,854,0
000000000000000001pr,0000000000000000005d,0000000000000000008i,551,0
000000000000000000tm,000000000000000000bo,000000000000000000dx,745,0
00000000000000000278,000000000000000000rq,00000000000000000080,744,0
000000000000000000o4,0000000000000000002r,0000000000000000005d,718,0
000000000000000000wp,000000000000000000aa,000000000000000000bo,1051,0
000000000000000003aq,000000000000000000q3,000000000000000000rq,628,0
000000000000000001jb,000000000000000000ma,0000000000000000002r,729,0
000000000000000004hv,0000000000000000001f,000000000000000000aa,328,0
000000000000000002qr,000000000000000000pf,000000000000000000q3,1001,0
000000000000000004v3,00000000000000000098,000000000000000000ma,337,0
0000000000000000018y,0000000000000000001c,0000000000000000001f,226,0
0000000000000000045z,0000000000000000006e,000000000000000000pf,367,0
000000000000000000lh,0000000000000000001y,00000000000000000098,1006,0
000000000000000004az,000000000000000000q0,0000000000000000001c,467,0
000000000000000002jb,0000000000000000007m,0000000000000000006e,579,0
000000000000000002xk,000000000000000000db,0000000000000000001y,464,0
0000000000000000034e,000000000000000000ld,000000000000000000q0,501,0
000000000000000003at,000000000000000000dn,0000000000000000007m,454,0
000000000000000001o8,000000000000000000fa,000000000000000000db,241,0
