route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
000000000000000000br,0000000000000000001d,000000000000000000br,000000000000000000br,000000000000000000br,49,000000000000000000br,000000000000000000br,00000000000000000033
000000000000000000b5,00000000000000000014,000000000000000000b5,000000000000000000b5,000000000000000000b5,40,000000000000000000b5,000000000000000000b5,00000000000000000037
0000000000000000009c,00000000000000000015,0000000000000000009c,0000000000000000009c,0000000000000000009c,41,0000000000000000009c,0000000000000000009c,0000000000000000001b
00000000000000000033,0000000000000000000o,00000000000000000033,00000000000000000033,00000000000000000033,24,00000000000000000033,00000000000000000033,00000000000000000030
000000000000000000aa,0000000000000000000k,000000000000000000aa,000000000000000000aa,000000000000000000aa,20,000000000000000000aa,000000000000000000aa,00000000000000000021
000000000000000000ez,00000000000000000013,000000000000000000ez,000000000000000000ez,000000000000000000ez,39,000000000000000000ez,000000000000000000ez,0000000000000000000c
00000000000000000037,00000000000000000019,00000000000000000037,00000000000000000037,00000000000000000037,45,00000000000000000037,00000000000000000037,00000000000000000014
0000000000000000001b,0000000000000000000c,0000000000000000001b,0000000000000000001b,0000000000000000001b,12,0000000000000000001b,0000000000000000001b,0000000000000000000v
0000000000000000005x,0000000000000000000r,0000000000000000005x,0000000000000000005x,0000000000000000005x,27,0000000000000000005x,0000000000000000005x,00000000000000000044
000000000000000000dp,0000000000000000000a,000000000000000000dp,000000000000000000dp,000000000000000000dp,10,000000000000000000dp,000000000000000000dp,0000000000000000001a
0000000000000000008a,00000000000000000006,0000000000000000008a,0000000000000000008a,0000000000000000008a,6,0000000000000000008a,0000000000000000008a,0000000000000000001p
0000000000000000004s,00000000000000000016,0000000000000000004s,0000000000000000004s,0000000000000000004s,42,0000000000000000004s,0000000000000000004s,00000000000000000040
000000000000000000c4,00000000000000000012,000000000000000000c4,000000000000000000c4,000000000000000000c4,38,000000000000000000c4,000000000000000000c4,0000000000000000000g
0000000000000000006l,00000000000000000018,0000000000000000006l,0000000000000000006l,0000000000000000006l,44,0000000000000000006l,0000000000000000006l,0000000000000000000t
00000000000000000030,00000000000000000005,00000000000000000030,00000000000000000030,00000000000000000030,5,00000000000000000030,00000000000000000030,0000000000000000002q
000000000000000000a0,0000000000000000000z,000000000000000000a0,000000000000000000a0,000000000000000000a0,35,000000000000000000a0,000000000000000000a0,0000000000000000002d
0000000000000000007r,00000000000000000017,0000000000000000007r,0000000000000000007r,0000000000000000007r,43,0000000000000000007r,0000000000000000007r,0000000000000000003f
0000000000000000005b,00000000000000000003,0000000000000000005b,0000000000000000005b,0000000000000000005b,3,0000000000000000005b,0000000000000000005b,0000000000000000002x
00000000000000000021,0000000000000000000l,00000000000000000021,00000000000000000021,00000000000000000021,21,00000000000000000021,00000000000000000021,0000000000000000000j
000000000000000000gx,0000000000000000001a,000000000000000000gx,000000000000000000gx,000000000000000000gx,46,000000000000000000gx,000000000000000000gx,0000000000000000002r
0000000000000000000c,0000000000000000000j,0000000000000000000c,0000000000000000000c,0000000000000000000c,19,0000000000000000000c,0000000000000000000c,0000000000000000002j
0000000000000000008o,0000000000000000000w,0000000000000000008o,0000000000000000008o,0000000000000000008o,32,0000000000000000008o,0000000000000000008o,0000000000000000000b
00000000000000000014,0000000000000000000m,00000000000000000014,00000000000000000014,00000000000000000014,22,00000000000000000014,00000000000000000014,0000000000000000000y
0000000000000000000v,0000000000000000000n,0000000000000000000v,0000000000000000000v,0000000000000000000v,23,0000000000000000000v,0000000000000000000v,00000000000000000016
0000000000000000008z,0000000000000000000g,0000000000000000008z,0000000000000000008z,0000000000000000008z,16,0000000000000000008z,0000000000000000008z,0000000000000000002b
00000000000000000092,0000000000000000000b,00000000000000000092,00000000000000000092,00000000000000000092,11,00000000000000000092,00000000000000000092,0000000000000000003w
000000000000000000b8,0000000000000000000y,000000000000000000b8,000000000000000000b8,000000000000000000b8,34,000000000000000000b8,000000000000000000b8,0000000000000000003o
000000000000000000bi,00000000000000000010,000000000000000000bi,000000000000000000bi,000000000000000000bi,36,000000000000000000bi,000000000000000000bi,00000000000000000019
000000000000000000ab,0000000000000000001e,000000000000000000ab,000000000000000000ab,000000000000000000ab,50,000000000000000000ab,000000000000000000ab,00000000000000000046
000000000000000000fp,0000000000000000001b,000000000000000000fp,000000000000000000fp,000000000000000000fp,47,000000000000000000fp,000000000000000000fp,00000000000000000013
000000000000000000fo,0000000000000000000q,000000000000000000fo,000000000000000000fo,000000000000000000fo,26,000000000000000000fo,000000000000000000fo,00000000000000000005
000000000000000000ey,0000000000000000000u,000000000000000000ey,000000000000000000ey,000000000000000000ey,30,000000000000000000ey,000000000000000000ey,0000000000000000003m
000000000000000000cg,00000000000000000008,000000000000000000cg,000000000000000000cg,000000000000000000cg,8,000000000000000000cg,000000000000000000cg,0000000000000000002p
000000000000000000f9,0000000000000000000h,000000000000000000f9,000000000000000000f9,000000000000000000f9,17,000000000000000000f9,000000000000000000f9,0000000000000000001k
00000000000000000044,0000000000000000000i,00000000000000000044,00000000000000000044,00000000000000000044,18,00000000000000000044,00000000000000000044,0000000000000000000i
0000000000000000004d,0000000000000000000p,0000000000000000004d,0000000000000000004d,0000000000000000004d,25,0000000000000000004d,0000000000000000004d,0000000000000000001o
0000000000000000001a,0000000000000000000d,0000000000000000001a,0000000000000000001a,0000000000000000001a,13,0000000000000000001a,0000000000000000001a,00000000000000000002
00000000000000000057,0000000000000000000v,00000000000000000057,00000000000000000057,00000000000000000057,31,00000000000000000057,00000000000000000057,0000000000000000001g
0000000000000000007z,0000000000000000000f,0000000000000000007z,0000000000000000007z,0000000000000000007z,15,0000000000000000007z,0000000000000000007z,0000000000000000001x
000000000000000000b3,00000000000000000004,000000000000000000b3,000000000000000000b3,000000000000000000b3,4,000000000000000000b3,000000000000000000b3,0000000000000000002m
0000000000000000007w,0000000000000000000s,0000000000000000007w,0000000000000000007w,0000000000000000007w,28,0000000000000000007w,0000000000000000007w,00000000000000000042
0000000000000000008x,00000000000000000009,0000000000000000008x,0000000000000000008x,0000000000000000008x,9,0000000000000000008x,0000000000000000008x,0000000000000000000o
0000000000000000007m,00000000000000000011,0000000000000000007m,0000000000000000007m,0000000000000000007m,37,0000000000000000007m,0000000000000000007m,00000000000000000028
0000000000000000001p,00000000000000000002,0000000000000000001p,0000000000000000001p,0000000000000000001p,2,0000000000000000001p,0000000000000000001p,0000000000000000001q
000000000000000000g1,0000000000000000000e,000000000000000000g1,000000000000000000g1,000000000000000000g1,14,000000000000000000g1,000000000000000000g1,0000000000000000003d
000000000000000000g2,0000000000000000001c,000000000000000000g2,000000000000000000g2,000000000000000000g2,48,000000000000000000g2,000000000000000000g2,0000000000000000003b
0000000000000000006t,0000000000000000000x,0000000000000000006t,0000000000000000006t,0000000000000000006t,33,0000000000000000006t,0000000000000000006t,0000000000000000001v
0000000000000000008s,0000000000000000000t,0000000000000000008s,0000000000000000008s,0000000000000000008s,29,0000000000000000008s,0000000000000000008s,0000000000000000002h
00000000000000000040,00000000000000000001,00000000000000000040,00000000000000000040,00000000000000000040,1,00000000000000000040,00000000000000000040,0000000000000000002k
000000000000000000dc,00000000000000000007,000000000000000000dc,000000000000000000dc,000000000000000000dc,7,000000000000000000dc,000000000000000000dc,0000000000000000003e
000000000000000000ac,0000000000000000001d,000000000000000000ac,000000000000000000ac,000000000000000000ac,49,000000000000000000ac,000000000000000000ac,00000000000000000041
000000000000000000gf,00000000000000000014,000000000000000000gf,000000000000000000gf,000000000000000000gf,40,000000000000000000gf,000000000000000000gf,00000000000000000043
0000000000000000006f,00000000000000000015,0000000000000000006f,0000000000000000006f,0000000000000000006f,41,0000000000000000006f,0000000000000000006f,0000000000000000000w
0000000000000000000g,0000000000000000000o,0000000000000000000g,0000000000000000000g,0000000000000000000g,24,0000000000000000000g,0000000000000000000g,0000000000000000001n
000000000000000000bk,0000000000000000000k,000000000000000000bk,000000000000000000bk,000000000000000000bk,20,000000000000000000bk,000000000000000000bk,0000000000000000002n
000000000000000000b6,00000000000000000013,000000000000000000b6,000000000000000000b6,000000000000000000b6,39,000000000000000000b6,000000000000000000b6,0000000000000000001j
000000000000000000a2,00000000000000000019,000000000000000000a2,000000000000000000a2,000000000000000000a2,45,000000000000000000a2,000000000000000000a2,0000000000000000001m
00000000000000000097,0000000000000000000c,00000000000000000097,00000000000000000097,00000000000000000097,12,00000000000000000097,00000000000000000097,0000000000000000001f
000000000000000000eu,0000000000000000000r,000000000000000000eu,000000000000000000eu,000000000000000000eu,27,000000000000000000eu,000000000000000000eu,0000000000000000003n
000000000000000000fc,0000000000000000000a,000000000000000000fc,000000000000000000fc,000000000000000000fc,10,000000000000000000fc,000000000000000000fc,0000000000000000001r
0000000000000000006a,00000000000000000006,0000000000000000006a,0000000000000000006a,0000000000000000006a,6,0000000000000000006a,0000000000000000006a,00000000000000000012
000000000000000000bl,00000000000000000016,000000000000000000bl,000000000000000000bl,000000000000000000bl,42,000000000000000000bl,000000000000000000bl,0000000000000000002v
000000000000000000al,00000000000000000012,000000000000000000al,000000000000000000al,000000000000000000al,38,000000000000000000al,000000000000000000al,00000000000000000007
00000000000000000079,00000000000000000018,00000000000000000079,00000000000000000079,00000000000000000079,44,00000000000000000079,00000000000000000079,0000000000000000000m
000000000000000000bq,00000000000000000005,000000000000000000bq,000000000000000000bq,000000000000000000bq,5,000000000000000000bq,000000000000000000bq,0000000000000000001w
000000000000000000es,0000000000000000000z,000000000000000000es,000000000000000000es,000000000000000000es,35,000000000000000000es,000000000000000000es,0000000000000000000p
000000000000000000bw,00000000000000000017,000000000000000000bw,000000000000000000bw,000000000000000000bw,43,000000000000000000bw,000000000000000000bw,0000000000000000002c
0000000000000000000t,00000000000000000003,0000000000000000000t,0000000000000000000t,0000000000000000000t,3,0000000000000000000t,0000000000000000000t,00000000000000000017
000000000000000000c1,0000000000000000000l,000000000000000000c1,000000000000000000c1,000000000000000000c1,21,000000000000000000c1,000000000000000000c1,00000000000000000031
0000000000000000004f,0000000000000000001a,0000000000000000004f,0000000000000000004f,0000000000000000004f,46,0000000000000000004f,0000000000000000004f,0000000000000000000r
0000000000000000002q,0000000000000000000j,0000000000000000002q,0000000000000000002q,0000000000000000002q,19,0000000000000000002q,0000000000000000002q,0000000000000000002i
000000000000000000eq,0000000000000000000w,000000000000000000eq,000000000000000000eq,000000000000000000eq,32,000000000000000000eq,000000000000000000eq,00000000000000000003
0000000000000000002d,0000000000000000000m,0000000000000000002d,0000000000000000002d,0000000000000000002d,22,0000000000000000002d,0000000000000000002d,00000000000000000026
0000000000000000005c,0000000000000000000n,0000000000000000005c,0000000000000000005c,0000000000000000005c,23,0000000000000000005c,0000000000000000005c,0000000000000000000a
000000000000000000hs,0000000000000000000g,000000000000000000hs,000000000000000000hs,000000000000000000hs,16,000000000000000000hs,000000000000000000hs,0000000000000000002t
000000000000000000ds,0000000000000000000b,000000000000000000ds,000000000000000000ds,000000000000000000ds,11,000000000000000000ds,000000000000000000ds,0000000000000000003x
0000000000000000008k,0000000000000000000y,0000000000000000008k,0000000000000000008k,0000000000000000008k,34,0000000000000000008k,0000000000000000008k,00000000000000000034
0000000000000000009u,00000000000000000010,0000000000000000009u,0000000000000000009u,0000000000000000009u,36,0000000000000000009u,0000000000000000009u,00000000000000000011
0000000000000000003f,0000000000000000001e,0000000000000000003f,0000000000000000003f,0000000000000000003f,50,0000000000000000003f,0000000000000000003f,0000000000000000001z
