route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
000000000000000000br,00000000000000000033,000000000000000002op,000000000000000000dz,000000000000000000dz,46,000000000000000002op,000000000000000000dz,49
000000000000000000b5,00000000000000000037,0000000000000000041j,000000000000000000os,000000000000000000os,72,0000000000000000041j,00000000000000000124,40
0000000000000000009c,0000000000000000001b,0000000000000000038t,00000000000000000099,00000000000000000099,11,0000000000000000038t,000000000000000000os,41
00000000000000000033,0000000000000000005x,000000000000000003jg,000000000000000000gv,000000000000000000gv,39,000000000000000003jg,00000000000000000099,24
000000000000000000aa,0000000000000000004s,000000000000000000dz,000000000000000000i2,000000000000000000i2,30,000000000000000000dz,000000000000000000gv,20
000000000000000000ez,0000000000000000006l,000000000000000002ls,000000000000000000to,000000000000000000to,45,000000000000000002ls,0000000000000000015e,39
00000000000000000037,00000000000000000030,000000000000000002t2,00000000000000000036,00000000000000000036,60,000000000000000002t2,000000000000000000i2,45
0000000000000000001b,0000000000000000005b,000000000000000003gv,000000000000000000mk,000000000000000000mk,15,000000000000000003gv,000000000000000000to,12
0000000000000000005x,00000000000000000021,000000000000000003vj,000000000000000000ud,000000000000000000ud,28,000000000000000003vj,00000000000000000117,27
000000000000000000dp,0000000000000000000c,000000000000000004qy,000000000000000000tm,000000000000000000tm,97,000000000000000004qy,00000000000000000036,10
0000000000000000008a,00000000000000000014,0000000000000000026q,000000000000000000o4,000000000000000000o4,84,0000000000000000026q,000000000000000000mk,6
0000000000000000004s,0000000000000000000v,000000000000000003ph,000000000000000000wp,000000000000000000wp,18,000000000000000003ph,000000000000000000ud,42
000000000000000000c4,00000000000000000044,000000000000000002jn,000000000000000000lh,000000000000000000lh,98,000000000000000002jn,000000000000000000tm,38
0000000000000000006l,0000000000000000004d,000000000000000003h8,0000000000000000005r,0000000000000000005r,90,000000000000000003h8,000000000000000000o4,44
00000000000000000030,0000000000000000001a,000000000000000004gu,0000000000000000001r,0000000000000000001r,10,000000000000000004gu,000000000000000000wp,5
000000000000000000a0,00000000000000000057,00000000000000000124,000000000000000000qt,000000000000000000qt,33,00000000000000000124,000000000000000000lh,35
0000000000000000007r,0000000000000000001p,000000000000000000os,000000000000000000pm,000000000000000000pm,41,000000000000000000os,0000000000000000016i,43
0000000000000000005b,0000000000000000006t,00000000000000000201,0000000000000000004y,0000000000000000004y,82,00000000000000000201,0000000000000000005r,3
00000000000000000021,00000000000000000040,00000000000000000282,000000000000000000dr,000000000000000000dr,44,00000000000000000282,0000000000000000001r,21
000000000000000000gx,0000000000000000006f,00000000000000000418,0000000000000000000j,0000000000000000000j,38,00000000000000000418,00000000000000000140,46
0000000000000000000c,0000000000000000000g,000000000000000004l2,000000000000000000v5,000000000000000000v5,4,000000000000000004l2,000000000000000000qt,19
0000000000000000008o,0000000000000000006a,00000000000000000099,000000000000000000e4,000000000000000000e4,96,00000000000000000099,000000000000000000pm,32
00000000000000000014,0000000000000000000t,000000000000000002ll,000000000000000000y8,00000000000000000073,55,000000000000000002ll,0000000000000000010d,22
0000000000000000000v,0000000000000000004f,0000000000000000026k,00000000000000000073,0000000000000000007q,17,0000000000000000026k,0000000000000000004y,23
0000000000000000008z,0000000000000000002q,0000000000000000049o,0000000000000000007q,000000000000000000i9,59,0000000000000000049o,000000000000000000dr,16
