trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
0000000000000000009c,000000000000000000dz,000000000000000000dz,000000000000000000is,,000000000000000002op,2,2,3481
00000000000000000033,00000000000000000124,00000000000000000124,000000000000000000br,,0000000000000000041j,0,0,5239
000000000000000000aa,000000000000000000os,000000000000000000os,000000000000000000b5,,0000000000000000038t,1,1,4205
00000000000000000037,00000000000000000099,00000000000000000099,0000000000000000009c,,000000000000000003jg,2,2,4588
0000000000000000001b,000000000000000000gv,000000000000000000gv,000000000000000000ig,,000000000000000000dz,0,0,503
0000000000000000005x,0000000000000000015e,0000000000000000015e,00000000000000000033,,000000000000000002ls,1,1,3376
0000000000000000008a,000000000000000000i2,000000000000000000i2,000000000000000000aa,,000000000000000002t2,2,2,3638
0000000000000000004s,000000000000000000to,000000000000000000to,000000000000000000ez,,000000000000000003gv,0,0,4495
0000000000000000006l,00000000000000000117,00000000000000000117,00000000000000000037,,000000000000000003vj,1,1,5023
00000000000000000030,00000000000000000036,00000000000000000036,0000000000000000001b,,000000000000000004qy,2,2,6154
000000000000000000a0,000000000000000000mk,000000000000000000mk,0000000000000000005x,,0000000000000000026q,0,0,2834
0000000000000000007r,000000000000000000ud,000000000000000000ud,000000000000000000dp,,000000000000000005cx,1,1,6945
0000000000000000005b,000000000000000000tm,000000000000000000tm,000000000000000000jq,,000000000000000003ph,2,2,4805
00000000000000000021,000000000000000000o4,000000000000000000o4,0000000000000000008a,,000000000000000002jn,0,0,3299
0000000000000000000c,000000000000000000wp,000000000000000000wp,000000000000000000j1,,000000000000000003h8,1,1,4508
0000000000000000008o,0000000000000000018y,0000000000000000018y,000000000000000000i9,,000000000000000004gu,2,2,5790
00000000000000000014,000000000000000000lh,000000000000000000lh,0000000000000000004s,,00000000000000000124,0,0,1372
0000000000000000000v,0000000000000000016i,0000000000000000016i,000000000000000000c4,,000000000000000000os,1,1,892
0000000000000000008z,0000000000000000005r,0000000000000000005r,0000000000000000006l,,00000000000000000201,2,2,2593
00000000000000000092,0000000000000000001r,0000000000000000001r,00000000000000000030,,00000000000000000282,0,0,2882
000000000000000000ab,00000000000000000140,00000000000000000140,000000000000000000ly,,00000000000000000418,1,1,5228
00000000000000000044,000000000000000000qt,000000000000000000qt,000000000000000000a0,,000000000000000004l2,2,2,5942
0000000000000000004d,000000000000000000pm,000000000000000000pm,0000000000000000007r,,00000000000000000099,0,0,333
0000000000000000001a,0000000000000000010d,0000000000000000010d,0000000000000000005b,,000000000000000002ll,1,1,3369
00000000000000000057,0000000000000000004y,0000000000000000004y,00000000000000000021,,0000000000000000026k,2,2,2828
0000000000000000007z,000000000000000000dr,000000000000000000dr,000000000000000000gx,,00000000000000000578,0,0,6740
0000000000000000007w,0000000000000000015g,0000000000000000015g,000000000000000000jf,,0000000000000000049o,1,1,5532
0000000000000000008x,0000000000000000000j,0000000000000000000j,0000000000000000000c,,000000000000000004r8,2,2,6164
0000000000000000007m,000000000000000000v5,000000000000000000v5,0000000000000000008o,,000000000000000002n4,0,0,3424
0000000000000000001p,000000000000000000e4,000000000000000000e4,00000000000000000014,,000000000000000001g4,1,1,1876
0000000000000000006t,000000000000000000y8,000000000000000000y8,0000000000000000000v,,000000000000000000gv,2,2,607
0000000000000000008s,00000000000000000073,00000000000000000073,000000000000000000me,,000000000000000004gw,0,0,5792
00000000000000000040,0000000000000000016e,0000000000000000016e,000000000000000000lk,,0000000000000000015e,1,1,1490
000000000000000000ac,0000000000000000007q,0000000000000000007q,0000000000000000008z,,000000000000000002d4,2,2,3064
0000000000000000006f,000000000000000000i9,000000000000000000i9,00000000000000000092,,000000000000000000i2,0,0,650
0000000000000000000g,000000000000000000kx,000000000000000000kx,000000000000000000b8,,000000000000000000to,1,1,1068
000000000000000000a2,0000000000000000006o,0000000000000000006o,000000000000000000bi,,000000000000000002ai,2,2,2970
00000000000000000097,000000000000000000vy,000000000000000000vy,000000000000000000iq,,000000000000000003xz,0,0,5111
0000000000000000006a,0000000000000000009q,0000000000000000009q,000000000000000000ab,,00000000000000000117,1,1,1339
000000000000000000al,000000000000000000ho,000000000000000000ho,000000000000000000fp,,00000000000000000036,2,2,114
