route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
0000000000000000000o,0000000000000000000c,0000000000000000009c,0000000000000000001d,0000000000000000001d,3,0000000000000000009c,0000000000000000001d,3
0000000000000000000k,0000000000000000000a,00000000000000000033,00000000000000000014,00000000000000000014,4,00000000000000000033,00000000000000000014,1
00000000000000000013,00000000000000000006,000000000000000000aa,00000000000000000015,00000000000000000015,2,000000000000000000aa,00000000000000000026,2
0000000000000000000c,00000000000000000005,00000000000000000037,0000000000000000000o,0000000000000000000o,5,00000000000000000037,00000000000000000015,3
0000000000000000000r,00000000000000000003,0000000000000000001b,0000000000000000001v,0000000000000000001v,0,0000000000000000001b,0000000000000000002d,1
0000000000000000000a,0000000000000000000b,0000000000000000005x,0000000000000000001t,0000000000000000001t,1,0000000000000000005x,0000000000000000002i,2
00000000000000000006,00000000000000000008,0000000000000000008a,0000000000000000001f,0000000000000000001f,3,0000000000000000008a,0000000000000000000o,3
00000000000000000012,0000000000000000000d,0000000000000000004s,0000000000000000001i,0000000000000000001i,4,0000000000000000004s,0000000000000000001v,1
00000000000000000005,0000000000000000000f,0000000000000000006l,00000000000000000023,0000000000000000000k,2,0000000000000000006l,0000000000000000001t,2
0000000000000000000z,00000000000000000004,00000000000000000030,0000000000000000000k,00000000000000000013,5,00000000000000000030,0000000000000000001f,3
00000000000000000003,00000000000000000009,000000000000000000a0,00000000000000000013,0000000000000000001z,0,000000000000000000a0,0000000000000000001i,1
0000000000000000000l,00000000000000000002,0000000000000000007r,0000000000000000001z,00000000000000000019,1,0000000000000000007r,00000000000000000023,2
0000000000000000000j,0000000000000000000e,0000000000000000005b,00000000000000000019,0000000000000000000c,3,0000000000000000005b,0000000000000000000k,3
0000000000000000000w,00000000000000000001,00000000000000000021,0000000000000000000c,0000000000000000000r,4,00000000000000000021,00000000000000000013,1
0000000000000000000m,00000000000000000007,0000000000000000000c,0000000000000000000r,0000000000000000000a,2,0000000000000000000c,0000000000000000001z,2
0000000000000000000n,0000000000000000000c,0000000000000000008o,0000000000000000000a,0000000000000000001y,5,0000000000000000008o,0000000000000000002l,3
0000000000000000000g,0000000000000000000a,00000000000000000014,0000000000000000001y,00000000000000000006,0,00000000000000000014,00000000000000000019,1
0000000000000000000b,00000000000000000006,0000000000000000000v,00000000000000000021,00000000000000000016,1,0000000000000000000v,0000000000000000000c,2
0000000000000000000y,00000000000000000005,0000000000000000008z,00000000000000000006,00000000000000000012,3,0000000000000000008z,0000000000000000002c,3
00000000000000000010,00000000000000000003,00000000000000000092,00000000000000000016,0000000000000000001s,4,00000000000000000092,0000000000000000002b,1
0000000000000000000q,0000000000000000000b,000000000000000000ab,00000000000000000012,00000000000000000018,2,000000000000000000ab,00000000000000000024,2
0000000000000000000u,00000000000000000008,00000000000000000044,0000000000000000001s,00000000000000000005,5,00000000000000000044,0000000000000000000r,3
00000000000000000008,0000000000000000000d,0000000000000000004d,00000000000000000018,0000000000000000000z,0,0000000000000000004d,0000000000000000002g,1
0000000000000000000h,0000000000000000000f,0000000000000000001a,00000000000000000005,00000000000000000017,1,0000000000000000001a,0000000000000000000a,2
0000000000000000000i,00000000000000000004,00000000000000000057,0000000000000000000z,00000000000000000003,3,00000000000000000057,0000000000000000001y,3
0000000000000000000p,00000000000000000009,0000000000000000007z,00000000000000000017,0000000000000000000l,4,0000000000000000007z,0000000000000000002e,1
0000000000000000000d,00000000000000000002,0000000000000000007w,00000000000000000003,0000000000000000001a,2,0000000000000000007w,00000000000000000021,2
0000000000000000000v,0000000000000000000e,0000000000000000008x,0000000000000000000l,0000000000000000000j,5,0000000000000000008x,00000000000000000006,3
0000000000000000000f,00000000000000000001,0000000000000000007m,0000000000000000001a,0000000000000000000w,0,0000000000000000007m,00000000000000000016,1
00000000000000000004,00000000000000000007,0000000000000000001p,0000000000000000000j,0000000000000000000m,1,0000000000000000001p,0000000000000000002k,2
0000000000000000000s,0000000000000000000c,0000000000000000006t,0000000000000000000w,0000000000000000001h,3,0000000000000000006t,00000000000000000012,3
00000000000000000009,0000000000000000000a,0000000000000000008s,0000000000000000000m,0000000000000000001w,4,0000000000000000008s,0000000000000000001s,1
00000000000000000011,00000000000000000006,00000000000000000040,0000000000000000001h,00000000000000000020,2,00000000000000000040,00000000000000000018,2
00000000000000000002,00000000000000000005,000000000000000000ac,0000000000000000001w,0000000000000000001g,5,000000000000000000ac,00000000000000000005,3
0000000000000000000e,00000000000000000003,0000000000000000006f,00000000000000000020,0000000000000000001p,0,0000000000000000006f,0000000000000000000z,1
0000000000000000000x,0000000000000000000b,0000000000000000000g,0000000000000000001g,0000000000000000000n,1,0000000000000000000g,00000000000000000017,2
0000000000000000000t,00000000000000000008,000000000000000000a2,0000000000000000001p,0000000000000000001o,3,000000000000000000a2,0000000000000000002f,3
00000000000000000001,0000000000000000000d,00000000000000000097,0000000000000000000n,0000000000000000000g,4,00000000000000000097,00000000000000000003,1
00000000000000000007,0000000000000000000f,0000000000000000006a,0000000000000000001o,0000000000000000000b,2,0000000000000000006a,0000000000000000000l,2
0000000000000000000o,00000000000000000004,000000000000000000al,0000000000000000000g,0000000000000000000y,5,000000000000000000al,0000000000000000001a,3
0000000000000000000k,00000000000000000009,00000000000000000079,0000000000000000000b,00000000000000000010,0,00000000000000000079,0000000000000000000j,1
00000000000000000013,00000000000000000002,0000000000000000000t,0000000000000000000y,0000000000000000001e,1,0000000000000000000t,0000000000000000000w,2
0000000000000000000c,0000000000000000000e,0000000000000000004f,00000000000000000010,0000000000000000001b,3,0000000000000000004f,0000000000000000000m,3
0000000000000000000r,00000000000000000001,0000000000000000002q,0000000000000000001e,0000000000000000000q,4,0000000000000000002q,0000000000000000001h,1
0000000000000000000a,00000000000000000007,0000000000000000002d,0000000000000000001b,0000000000000000001q,2,0000000000000000002d,0000000000000000001w,2
00000000000000000006,0000000000000000000c,0000000000000000005c,0000000000000000000q,0000000000000000000u,5,0000000000000000005c,00000000000000000020,3
