stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
000000000000000002op,000000000000000000is,000000000000000000dz,000000000000000000dz,543,503,,00000000000000000003,3,,,3
000000000000000000dz,000000000000000000br,00000000000000000124,00000000000000000124,2874,2834,,00000000000000000001,7,,,7
000000000000000002ls,000000000000000000b5,000000000000000000os,000000000000000000os,1412,1372,,00000000000000000002,4,,,4
000000000000000002t2,0000000000000000009c,00000000000000000099,00000000000000000099,932,892,,00000000000000000003,8,,,8
0000000000000000026q,000000000000000000ig,000000000000000001g4,000000000000000000gv,2633,2593,,00000000000000000001,6,,,6
000000000000000002jn,00000000000000000033,000000000000000000gv,0000000000000000015e,373,333,,00000000000000000002,2,,,2
00000000000000000124,000000000000000000aa,0000000000000000015e,000000000000000000i2,2868,2828,,00000000000000000003,5,,,5
000000000000000000os,000000000000000000ez,000000000000000000i2,000000000000000000to,1916,1876,,00000000000000000001,0,,,0
00000000000000000201,00000000000000000037,000000000000000000to,00000000000000000117,647,607,,00000000000000000002,1,,,1
00000000000000000282,0000000000000000001b,00000000000000000117,00000000000000000036,1530,1490,,00000000000000000003,3,,,3
00000000000000000099,0000000000000000005x,00000000000000000036,000000000000000000mk,690,650,,00000000000000000001,7,,,7
000000000000000002ll,000000000000000000dp,000000000000000000mk,000000000000000000ud,1108,1068,,00000000000000000002,4,,,4
0000000000000000026k,000000000000000000jq,000000000000000000ud,000000000000000000tm,1379,1339,,00000000000000000003,8,,,8
000000000000000002n4,0000000000000000008a,000000000000000001ll,000000000000000000o4,154,114,,00000000000000000001,6,,,6
000000000000000001g4,000000000000000000j1,000000000000000000tm,000000000000000000wp,2907,2867,,00000000000000000002,2,,,2
000000000000000000gv,000000000000000000i9,000000000000000000o4,0000000000000000018y,2708,2668,,00000000000000000003,5,,,5
0000000000000000015e,0000000000000000004s,000000000000000000wp,000000000000000000lh,852,812,,00000000000000000001,0,,,0
000000000000000002d4,000000000000000000c4,000000000000000001jb,0000000000000000016i,1133,1093,,00000000000000000002,1,,,1
000000000000000000i2,0000000000000000006l,0000000000000000018y,0000000000000000005r,2113,2073,,00000000000000000003,3,,,3
000000000000000000to,00000000000000000030,000000000000000000lh,0000000000000000001r,2263,2223,,00000000000000000001,7,,,7
000000000000000002ai,000000000000000000ly,0000000000000000016i,000000000000000001ac,1106,1066,,00000000000000000002,4,,,4
00000000000000000117,000000000000000000a0,0000000000000000005r,00000000000000000140,2892,2852,,00000000000000000003,8,,,8
00000000000000000036,0000000000000000007r,0000000000000000001r,000000000000000000qt,908,868,,00000000000000000001,6,,,6
0000000000000000027n,0000000000000000005b,000000000000000001ac,000000000000000000pm,1217,1177,,00000000000000000002,2,,,2
000000000000000002co,00000000000000000021,00000000000000000140,000000000000000001d5,2031,1991,,00000000000000000003,5,,,5
00000000000000000224,000000000000000000gx,000000000000000000qt,0000000000000000010d,1658,1618,,00000000000000000001,0,,,0
000000000000000000mk,000000000000000000jf,000000000000000001mc,0000000000000000004y,813,773,,00000000000000000002,1,,,1
000000000000000000ud,0000000000000000000c,000000000000000000pm,000000000000000000dr,2208,2168,,00000000000000000003,3,,,3
000000000000000001ll,0000000000000000008o,000000000000000001d5,0000000000000000015g,1570,1530,,00000000000000000001,7,,,7
000000000000000001pr,00000000000000000014,0000000000000000010d,0000000000000000000j,247,207,,00000000000000000002,4,,,4
000000000000000000tm,0000000000000000000v,0000000000000000004y,000000000000000000v5,2246,2206,,00000000000000000003,8,,,8
