route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
0000000000000000000o,00000000000000000003,0000000000000000000o,0000000000000000000o,0000000000000000000o,3,0000000000000000000o,0000000000000000000o,00000000000000000004
0000000000000000000k,00000000000000000001,0000000000000000000k,0000000000000000000k,0000000000000000000k,1,0000000000000000000k,0000000000000000000k,00000000000000000008
00000000000000000013,00000000000000000002,00000000000000000013,00000000000000000013,00000000000000000013,2,00000000000000000013,00000000000000000013,00000000000000000005
0000000000000000000c,00000000000000000003,0000000000000000000c,0000000000000000000c,0000000000000000000c,3,0000000000000000000c,0000000000000000000c,00000000000000000009
0000000000000000000r,00000000000000000001,0000000000000000000r,0000000000000000000r,0000000000000000000r,1,0000000000000000000r,0000000000000000000r,00000000000000000007
0000000000000000000a,00000000000000000002,0000000000000000000a,0000000000000000000a,0000000000000000000a,2,0000000000000000000a,0000000000000000000a,00000000000000000003
00000000000000000006,00000000000000000003,00000000000000000006,00000000000000000006,00000000000000000006,3,00000000000000000006,00000000000000000006,00000000000000000006
00000000000000000012,00000000000000000001,00000000000000000012,00000000000000000012,00000000000000000012,1,00000000000000000012,00000000000000000012,00000000000000000001
00000000000000000005,00000000000000000002,00000000000000000005,00000000000000000005,00000000000000000005,2,00000000000000000005,00000000000000000005,00000000000000000002
0000000000000000000z,00000000000000000003,0000000000000000000z,0000000000000000000z,0000000000000000000z,3,0000000000000000000z,0000000000000000000z,00000000000000000004
00000000000000000003,00000000000000000001,00000000000000000003,00000000000000000003,00000000000000000003,1,00000000000000000003,00000000000000000003,00000000000000000008
0000000000000000000l,00000000000000000002,0000000000000000000l,0000000000000000000l,0000000000000000000l,2,0000000000000000000l,0000000000000000000l,00000000000000000005
0000000000000000000j,00000000000000000003,0000000000000000000j,0000000000000000000j,0000000000000000000j,3,0000000000000000000j,0000000000000000000j,00000000000000000009
0000000000000000000w,00000000000000000001,0000000000000000000w,0000000000000000000w,0000000000000000000w,1,0000000000000000000w,0000000000000000000w,00000000000000000007
0000000000000000000m,00000000000000000002,0000000000000000000m,0000000000000000000m,0000000000000000000m,2,0000000000000000000m,0000000000000000000m,00000000000000000003
0000000000000000000n,00000000000000000003,0000000000000000000n,0000000000000000000n,0000000000000000000n,3,0000000000000000000n,0000000000000000000n,00000000000000000006
0000000000000000000g,00000000000000000001,0000000000000000000g,0000000000000000000g,0000000000000000000g,1,0000000000000000000g,0000000000000000000g,00000000000000000001
0000000000000000000b,00000000000000000002,0000000000000000000b,0000000000000000000b,0000000000000000000b,2,0000000000000000000b,0000000000000000000b,00000000000000000002
0000000000000000000y,00000000000000000003,0000000000000000000y,0000000000000000000y,0000000000000000000y,3,0000000000000000000y,0000000000000000000y,00000000000000000004
00000000000000000010,00000000000000000001,00000000000000000010,00000000000000000010,00000000000000000010,1,00000000000000000010,00000000000000000010,00000000000000000008
0000000000000000000q,00000000000000000002,0000000000000000000q,0000000000000000000q,0000000000000000000q,2,0000000000000000000q,0000000000000000000q,00000000000000000005
0000000000000000000u,00000000000000000003,0000000000000000000u,0000000000000000000u,0000000000000000000u,3,0000000000000000000u,0000000000000000000u,00000000000000000009
00000000000000000008,00000000000000000001,00000000000000000008,00000000000000000008,00000000000000000008,1,00000000000000000008,00000000000000000008,00000000000000000007
0000000000000000000h,00000000000000000002,0000000000000000000h,0000000000000000000h,0000000000000000000h,2,0000000000000000000h,0000000000000000000h,00000000000000000003
0000000000000000000i,00000000000000000003,0000000000000000000i,0000000000000000000i,0000000000000000000i,3,0000000000000000000i,0000000000000000000i,00000000000000000006
0000000000000000000p,00000000000000000001,0000000000000000000p,0000000000000000000p,0000000000000000000p,1,0000000000000000000p,0000000000000000000p,00000000000000000001
0000000000000000000d,00000000000000000002,0000000000000000000d,0000000000000000000d,0000000000000000000d,2,0000000000000000000d,0000000000000000000d,00000000000000000002
0000000000000000000v,00000000000000000003,0000000000000000000v,0000000000000000000v,0000000000000000000v,3,0000000000000000000v,0000000000000000000v,00000000000000000004
0000000000000000000f,00000000000000000001,0000000000000000000f,0000000000000000000f,0000000000000000000f,1,0000000000000000000f,0000000000000000000f,00000000000000000008
00000000000000000004,00000000000000000002,00000000000000000004,00000000000000000004,00000000000000000004,2,00000000000000000004,00000000000000000004,00000000000000000005
0000000000000000000s,00000000000000000003,0000000000000000000s,0000000000000000000s,0000000000000000000s,3,0000000000000000000s,0000000000000000000s,00000000000000000009
00000000000000000009,00000000000000000001,00000000000000000009,00000000000000000009,00000000000000000009,1,00000000000000000009,00000000000000000009,00000000000000000007
00000000000000000011,00000000000000000002,00000000000000000011,00000000000000000011,00000000000000000011,2,00000000000000000011,00000000000000000011,00000000000000000003
00000000000000000002,00000000000000000003,00000000000000000002,00000000000000000002,00000000000000000002,3,00000000000000000002,00000000000000000002,00000000000000000006
0000000000000000000e,00000000000000000001,0000000000000000000e,0000000000000000000e,0000000000000000000e,1,0000000000000000000e,0000000000000000000e,00000000000000000001
0000000000000000000x,00000000000000000002,0000000000000000000x,0000000000000000000x,0000000000000000000x,2,0000000000000000000x,0000000000000000000x,00000000000000000002
0000000000000000000t,00000000000000000003,0000000000000000000t,0000000000000000000t,0000000000000000000t,3,0000000000000000000t,0000000000000000000t,00000000000000000004
00000000000000000001,00000000000000000001,00000000000000000001,00000000000000000001,00000000000000000001,1,00000000000000000001,00000000000000000001,00000000000000000008
00000000000000000007,00000000000000000002,00000000000000000007,00000000000000000007,00000000000000000007,2,00000000000000000007,00000000000000000007,00000000000000000005
