feed_publisher_name,feed_publisher_url,feed_lang,feed_start_date,feed_end_date,feed_version
0000000000000000000k,0000000000000000000k,0000000000000000000k,1970-01-21,1970-01-21,0000000000000000000k
0000000000000000000c,0000000000000000000c,0000000000000000000c,1970-01-13,1970-01-13,0000000000000000000c
0000000000000000000a,0000000000000000000a,0000000000000000000a,1970-01-11,1970-01-11,0000000000000000000a
00000000000000000006,00000000000000000006,00000000000000000006,1970-01-07,1970-01-07,00000000000000000006
00000000000000000005,00000000000000000005,00000000000000000005,1970-01-06,1970-01-06,00000000000000000005
00000000000000000003,00000000000000000003,00000000000000000003,1970-01-04,1970-01-04,00000000000000000003
0000000000000000000j,0000000000000000000j,0000000000000000000j,1970-01-20,1970-01-20,0000000000000000000j
0000000000000000000g,0000000000000000000g,0000000000000000000g,1970-01-17,1970-01-17,0000000000000000000g
0000000000000000000b,0000000000000000000b,0000000000000000000b,1970-01-12,1970-01-12,0000000000000000000b
00000000000000000008,00000000000000000008,00000000000000000008,1970-01-09,1970-01-09,00000000000000000008
0000000000000000000h,0000000000000000000h,0000000000000000000h,1970-01-18,1970-01-18,0000000000000000000h
0000000000000000000i,0000000000000000000i,0000000000000000000i,1970-01-19,1970-01-19,0000000000000000000i
0000000000000000000d,0000000000000000000d,0000000000000000000d,1970-01-14,1970-01-14,0000000000000000000d
0000000000000000000f,0000000000000000000f,0000000000000000000f,1970-01-16,1970-01-16,0000000000000000000f
00000000000000000004,00000000000000000004,00000000000000000004,1970-01-05,1970-01-05,00000000000000000004
00000000000000000009,00000000000000000009,00000000000000000009,1970-01-10,1970-01-10,00000000000000000009
00000000000000000002,00000000000000000002,00000000000000000002,1970-01-03,1970-01-03,00000000000000000002
0000000000000000000e,0000000000000000000e,0000000000000000000e,1970-01-15,1970-01-15,0000000000000000000e
00000000000000000001,00000000000000000001,00000000000000000001,1970-01-02,1970-01-02,00000000000000000001
00000000000000000007,00000000000000000007,00000000000000000007,1970-01-08,1970-01-08,00000000000000000007
