stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
000000000000000006i5,000000000000000002op,000000000000000006i5,000000000000000006i5,8469,8429,,0000000000000000000k,48,,,48
00000000000000000gbg,0000000000000000041j,000000000000000007td,000000000000000007td,17703,17663,,0000000000000000000c,39,,,39
00000000000000000dmn,0000000000000000038t,000000000000000001aa,000000000000000001aa,10169,10129,,0000000000000000000a,40,,,40
000000000000000007td,000000000000000003jg,000000000000000002fs,000000000000000002fs,1706,1666,,00000000000000000006,23,,,23
00000000000000000iw8,000000000000000000dz,00000000000000000ace,0000000000000000055k,3200,3160,,00000000000000000005,50,,,50
000000000000000001aa,000000000000000002ls,0000000000000000055k,0000000000000000017z,18609,18569,,00000000000000000003,53,,,53
000000000000000002fs,000000000000000002t2,0000000000000000017z,0000000000000000033z,13446,13406,,0000000000000000000j,19,,,19
00000000000000000ebt,000000000000000003gv,0000000000000000033z,000000000000000006av,6720,6680,,0000000000000000000g,38,,,38
00000000000000000ace,000000000000000003vj,000000000000000006av,000000000000000001n6,16552,16512,,0000000000000000000b,44,,,44
0000000000000000055k,0000000000000000026q,000000000000000001n6,0000000000000000084n,1623,1583,,00000000000000000008,11,,,11
00000000000000000cqo,000000000000000003ph,0000000000000000084n,000000000000000004hi,4071,4031,,0000000000000000000h,26,,,26
0000000000000000017z,000000000000000002jn,000000000000000004hi,000000000000000005cy,8207,8167,,0000000000000000000i,9,,,9
0000000000000000033z,000000000000000003h8,000000000000000005cy,000000000000000003nk,2170,2130,,0000000000000000000d,5,,,5
000000000000000006av,00000000000000000124,000000000000000003nk,000000000000000008o2,15485,15445,,0000000000000000000f,41,,,41
000000000000000001n6,000000000000000000os,000000000000000008o2,0000000000000000042g,10575,10535,,00000000000000000004,37,,,37
00000000000000000bx1,00000000000000000201,0000000000000000042g,0000000000000000057u,5854,5814,,00000000000000000009,43,,,43
0000000000000000084n,00000000000000000282,0000000000000000057u,000000000000000002ja,6986,6946,,00000000000000000002,4,,,4
00000000000000000g92,00000000000000000418,000000000000000002ja,000000000000000006bm,4776,4736,,0000000000000000000e,34,,,34
000000000000000004hi,00000000000000000099,000000000000000006bm,00000000000000000311,11274,11234,,00000000000000000001,42,,,42
000000000000000005cy,000000000000000002ll,00000000000000000311,0000000000000000017y,18587,18547,,00000000000000000007,2,,,2
000000000000000003nk,0000000000000000026k,0000000000000000017y,000000000000000002mq,5312,5272,,0000000000000000000k,20,,,20
000000000000000008o2,0000000000000000049o,000000000000000002mq,0000000000000000084x,15323,15283,,0000000000000000000c,45,,,45
00000000000000000eb7,000000000000000002n4,000000000000000009np,00000000000000000210,6802,6762,,0000000000000000000a,18,,,18
00000000000000000fku,000000000000000001g4,0000000000000000084x,0000000000000000017r,16583,16543,,00000000000000000006,31,,,31
0000000000000000042g,000000000000000000gv,00000000000000000210,000000000000000005h9,3326,3286,,00000000000000000005,21,,,21
00000000000000000bsj,0000000000000000015e,0000000000000000017r,000000000000000005wo,8234,8194,,00000000000000000003,52,,,52
0000000000000000057u,000000000000000002d4,000000000000000005h9,0000000000000000039j,15944,15904,,0000000000000000000j,51,,,51
00000000000000000crj,000000000000000000i2,000000000000000005wo,000000000000000008j0,3965,3925,,0000000000000000000g,22,,,22
000000000000000002ja,000000000000000000to,00000000000000000a3l,000000000000000004c4,1622,1582,,0000000000000000000b,59,,,59
000000000000000006bm,000000000000000002ai,0000000000000000039j,000000000000000009bk,3450,3410,,00000000000000000008,15,,,15
00000000000000000c9s,000000000000000003xz,000000000000000008j0,000000000000000004ra,12557,12517,,0000000000000000000h,10,,,10
00000000000000000311,00000000000000000117,00000000000000000ant,0000000000000000058n,10585,10545,,0000000000000000000i,33,,,33
0000000000000000017y,00000000000000000036,000000000000000004c4,0000000000000000092o,2668,2628,,0000000000000000000d,35,,,35
000000000000000002mq,0000000000000000027n,000000000000000009bk,0000000000000000087t,1615,1575,,0000000000000000000f,49,,,49
00000000000000000jfw,000000000000000002co,000000000000000004ra,000000000000000007o2,17012,16972,,00000000000000000004,46,,,46
000000000000000009np,00000000000000000224,0000000000000000058n,000000000000000003ss,7141,7101,,00000000000000000009,25,,,25
00000000000000000i7i,000000000000000000mk,0000000000000000092o,000000000000000002fj,18431,18391,,00000000000000000002,29,,,29
0000000000000000084x,000000000000000003jq,0000000000000000087t,000000000000000002f6,18254,18214,,0000000000000000000e,7,,,7
00000000000000000210,000000000000000000ud,00000000000000000ae3,000000000000000003zf,7696,7656,,00000000000000000001,55,,,55
0000000000000000017r,000000000000000003fh,000000000000000007o2,0000000000000000072k,13129,13089,,00000000000000000007,16,,,16
00000000000000000d3g,000000000000000001ll,000000000000000003ss,0000000000000000021l,4271,4231,,0000000000000000000k,17,,,17
000000000000000005h9,000000000000000001pr,000000000000000002fj,00000000000000000104,11092,11052,,0000000000000000000c,24,,,24
00000000000000000e6v,000000000000000000tm,000000000000000002f6,000000000000000008th,13857,13817,,0000000000000000000a,12,,,12
00000000000000000e1y,00000000000000000278,000000000000000003zf,0000000000000000062t,5660,5620,,00000000000000000006,30,,,30
000000000000000005wo,000000000000000000o4,0000000000000000072k,000000000000000004rl,12120,12080,,00000000000000000005,14,,,14
00000000000000000a3l,000000000000000000wp,0000000000000000021l,000000000000000000ty,19125,19085,,00000000000000000003,3,,,3
00000000000000000gcx,000000000000000003aq,00000000000000000104,000000000000000004x6,18472,18432,,0000000000000000000j,27,,,27
0000000000000000039j,000000000000000001jb,00000000000000000a3y,000000000000000007pf,6206,6166,,0000000000000000000g,58,,,58
00000000000000000if4,000000000000000002qr,00000000000000000ak4,000000000000000008xi,6831,6791,,0000000000000000000b,8,,,8
000000000000000008j0,0000000000000000018y,000000000000000008th,000000000000000000mw,11800,11760,,00000000000000000008,36,,,36
00000000000000000ant,0000000000000000045z,0000000000000000062t,000000000000000004yf,10689,10649,,0000000000000000000h,56,,,56
00000000000000000fyl,000000000000000000lh,000000000000000004rl,000000000000000000p3,13507,13467,,0000000000000000000i,57,,,57
000000000000000004c4,000000000000000004az,000000000000000000ty,000000000000000002wi,9978,9938,,0000000000000000000d,1,,,1
00000000000000000fa7,000000000000000002jb,000000000000000009pe,00000000000000000809,4964,4924,,0000000000000000000f,13,,,13
000000000000000009bk,000000000000000002xk,000000000000000004x6,000000000000000008lz,3191,3151,,00000000000000000004,54,,,54
00000000000000000hyh,0000000000000000034e,000000000000000007pf,000000000000000000b1,15562,15522,,00000000000000000009,47,,,47
00000000000000000eq5,000000000000000003at,000000000000000008xi,000000000000000006wj,3178,3138,,00000000000000000002,32,,,32
00000000000000000e80,000000000000000001o8,000000000000000000mw,0000000000000000099d,5203,5163,,0000000000000000000e,28,,,28
00000000000000000ev6,0000000000000000016i,000000000000000004yf,0000000000000000037f,9204,9164,,00000000000000000001,0,,,0
00000000000000000jei,0000000000000000005r,000000000000000000p3,00000000000000000488,17662,17622,,00000000000000000007,6,,,6
