trip_id,start_time,end_time,headway_secs,exact_times
000000000000000000dz,000000000000000000b5,000000000000000000br,516,0
00000000000000000124,0000000000000000009c,000000000000000000b5,291,0
000000000000000000os,00000000000000000033,0000000000000000009c,550,0
00000000000000000201,000000000000000000aa,00000000000000000033,295,0
00000000000000000099,00000000000000000037,000000000000000000aa,227,0
000000000000000001g4,0000000000000000001b,00000000000000000037,393,0
000000000000000000gv,0000000000000000005x,0000000000000000001b,478,0
0000000000000000015e,0000000000000000008a,0000000000000000005x,352,0
000000000000000000i2,0000000000000000004s,0000000000000000008a,417,0
000000000000000000to,0000000000000000006l,0000000000000000004s,288,0
00000000000000000117,00000000000000000030,000000000000000000c4,540,0
00000000000000000036,000000000000000000a0,0000000000000000006l,459,0
000000000000000000mk,0000000000000000007r,00000000000000000030,371,0
000000000000000000ud,0000000000000000005b,000000000000000000a0,253,0
000000000000000001ll,00000000000000000021,0000000000000000007r,192,0
000000000000000001pr,0000000000000000000c,0000000000000000005b,492,0
000000000000000000tm,0000000000000000008o,00000000000000000021,220,0
000000000000000000o4,00000000000000000014,0000000000000000000c,211,0
000000000000000000wp,0000000000000000000v,0000000000000000008o,503,0
000000000000000001jb,0000000000000000008z,00000000000000000014,506,0
0000000000000000018y,00000000000000000092,0000000000000000000v,551,0
000000000000000000lh,000000000000000000b8,0000000000000000008z,328,0
000000000000000001o8,000000000000000000bi,00000000000000000092,337,0
0000000000000000016i,000000000000000000ab,000000000000000000b8,226,0
0000000000000000005r,00000000000000000044,000000000000000000bi,367,0
000000000000000001pa,0000000000000000004d,000000000000000000ab,467,0
0000000000000000001r,0000000000000000001a,00000000000000000044,464,0
000000000000000001ac,00000000000000000057,0000000000000000004d,501,0
000000000000000001qg,0000000000000000007z,0000000000000000001a,454,0
000000000000000001yl,000000000000000000b3,00000000000000000057,241,0
000000000000000001v5,0000000000000000007w,0000000000000000007z,425,0
000000000000000001xl,0000000000000000008x,000000000000000000b3,496,0
00000000000000000140,0000000000000000007m,0000000000000000007w,324,0
000000000000000000qt,0000000000000000001p,0000000000000000008x,552,0
000000000000000001mc,0000000000000000006t,0000000000000000007m,411,0
000000000000000000pm,0000000000000000008s,0000000000000000001p,196,0
000000000000000001d5,00000000000000000040,0000000000000000006t,542,0
0000000000000000010d,000000000000000000ac,0000000000000000008s,511,0
0000000000000000004y,0000000000000000006f,00000000000000000040,406,0
000000000000000000dr,0000000000000000000g,000000000000000000ac,441,0
000000000000000001gj,000000000000000000bk,0000000000000000006f,209,0
0000000000000000015g,000000000000000000b6,0000000000000000000g,339,0
0000000000000000000j,000000000000000000a2,000000000000000000bk,278,0
000000000000000000v5,00000000000000000097,000000000000000000b6,265,0
000000000000000000e4,0000000000000000006a,000000000000000000a2,372,0
000000000000000001fe,000000000000000000bl,00000000000000000097,488,0
000000000000000001fs,000000000000000000al,0000000000000000006a,534,0
000000000000000000y8,00000000000000000079,000000000000000000bl,303,0
00000000000000000073,0000000000000000000t,000000000000000000al,351,0
0000000000000000016e,0000000000000000004f,00000000000000000079,285,0
000000000000000001t3,0000000000000000002q,000000000000000000bq,530,0
0000000000000000007q,0000000000000000002d,000000000000000000bw,199,0
000000000000000001o6,0000000000000000005c,0000000000000000000t,279,0
000000000000000001a4,0000000000000000008k,000000000000000000c1,510,0
000000000000000000i9,0000000000000000009u,0000000000000000004f,271,0
000000000000000000kx,0000000000000000003f,0000000000000000002q,528,0
000000000000000001pd,0000000000000000004r,0000000000000000002d,331,0
0000000000000000006o,000000000000000000be,0000000000000000005c,347,0
000000000000000001t9,0000000000000000002x,0000000000000000008k,486,0
000000000000000000vy,0000000000000000009q,0000000000000000009u,191,0
0000000000000000009q,0000000000000000000j,0000000000000000003f,466,0
000000000000000000ho,0000000000000000002r,0000000000000000004r,553,0
000000000000000001tt,00000000000000000096,000000000000000000be,555,0
000000000000000000k1,0000000000000000002j,0000000000000000002x,421,0
000000000000000001xr,0000000000000000009o,0000000000000000009q,392,0
00000000000000000122,00000000000000000047,0000000000000000000j,214,0
000000000000000000li,0000000000000000004n,0000000000000000002r,436,0
000000000000000001uz,0000000000000000008i,00000000000000000096,505,0
000000000000000001nr,0000000000000000000b,0000000000000000002j,558,0
000000000000000001uj,0000000000000000007y,0000000000000000009o,431,0
000000000000000000xj,000000000000000000ad,00000000000000000047,344,0
000000000000000000wc,000000000000000000af,0000000000000000004n,408,0
000000000000000001ge,0000000000000000006p,0000000000000000008i,359,0
000000000000000000x9,0000000000000000005w,0000000000000000000b,222,0
000000000000000000fy,0000000000000000000y,0000000000000000007y,263,0
000000000000000001j3,00000000000000000074,000000000000000000ad,320,0
000000000000000001af,00000000000000000091,000000000000000000af,312,0
0000000000000000019l,000000000000000000ai,0000000000000000006p,521,0
000000000000000000wy,0000000000000000006z,0000000000000000005w,531,0
000000000000000001rz,0000000000000000004k,0000000000000000000y,225,0
000000000000000000vk,0000000000000000006c,00000000000000000074,341,0
0000000000000000019v,0000000000000000004z,00000000000000000091,330,0
000000000000000000s1,00000000000000000016,000000000000000000ai,219,0
000000000000000001w7,0000000000000000002b,0000000000000000006z,185,0
000000000000000001ne,0000000000000000003w,0000000000000000004k,310,0
000000000000000001rg,0000000000000000003o,0000000000000000006c,533,0
000000000000000001a7,000000000000000000b9,0000000000000000004z,277,0
0000000000000000011v,0000000000000000009h,00000000000000000016,473,0
000000000000000000a1,000000000000000000bc,0000000000000000002b,484,0
000000000000000000zp,0000000000000000009r,0000000000000000003w,415,0
0000000000000000014h,00000000000000000019,0000000000000000003o,236,0
000000000000000001up,0000000000000000004h,000000000000000000b9,438,0
0000000000000000017d,00000000000000000046,000000000000000000c8,342,0
000000000000000001kk,00000000000000000013,0000000000000000009h,356,0
00000000000000000014,00000000000000000005,000000000000000000bc,545,0
000000000000000001tk,0000000000000000003m,0000000000000000009r,198,0
0000000000000000002y,0000000000000000009t,00000000000000000019,240,0
000000000000000001do,0000000000000000002p,0000000000000000004h,380,0
000000000000000000lo,00000000000000000085,00000000000000000046,335,0
0000000000000000003l,0000000000000000008g,00000000000000000013,182,0
000000000000000001lf,0000000000000000006j,00000000000000000005,232,0
000000000000000001fx,0000000000000000001k,0000000000000000003m,523,0
0000000000000000005e,000000000000000000b2,0000000000000000009t,499,0
0000000000000000013z,00000000000000000076,0000000000000000002p,402,0
0000000000000000013h,0000000000000000004i,00000000000000000085,249,0
000000000000000000va,0000000000000000004w,0000000000000000008g,410,0
00000000000000000167,000000000000000000aq,0000000000000000006j,274,0
000000000000000001ws,000000000000000000a5,0000000000000000001k,541,0
000000000000000001hz,000000000000000000bd,000000000000000000b2,485,0
000000000000000001qq,0000000000000000000i,00000000000000000076,524,0
0000000000000000012k,0000000000000000001o,0000000000000000004i,396,0
000000000000000001f0,0000000000000000005k,0000000000000000004w,326,0
000000000000000001lp,0000000000000000004b,000000000000000000aq,389,0
000000000000000001wb,00000000000000000002,000000000000000000a5,204,0
000000000000000000nd,0000000000000000001g,000000000000000000bd,260,0
000000000000000001me,0000000000000000009j,0000000000000000000i,242,0
000000000000000001i1,0000000000000000008v,0000000000000000001o,519,0
000000000000000000oz,00000000000000000066,0000000000000000005k,301,0
0000000000000000012l,0000000000000000001x,0000000000000000004b,299,0
000000000000000001gn,0000000000000000006e,00000000000000000002,247,0
000000000000000001c0,0000000000000000002m,0000000000000000001g,269,0
000000000000000001ga,000000000000000000bf,0000000000000000009j,476,0
000000000000000000qp,000000000000000000a1,0000000000000000008v,494,0
000000000000000000w6,0000000000000000008h,00000000000000000066,272,0
000000000000000001y0,0000000000000000009k,0000000000000000001x,554,0
000000000000000001lg,00000000000000000060,0000000000000000006e,302,0
000000000000000001hk,000000000000000000am,0000000000000000002m,325,0
0000000000000000017m,00000000000000000042,000000000000000000bu,327,0
000000000000000001zb,0000000000000000005t,000000000000000000bf,468,0
0000000000000000011g,000000000000000000at,000000000000000000a1,353,0
0000000000000000008a,0000000000000000000o,0000000000000000008h,212,0
0000000000000000003m,00000000000000000028,0000000000000000009k,239,0
000000000000000001pj,0000000000000000001q,00000000000000000060,275,0
000000000000000000gi,0000000000000000009f,000000000000000000am,235,0
000000000000000001yf,0000000000000000003d,00000000000000000042,238,0
0000000000000000017s,0000000000000000003b,0000000000000000005t,498,0
000000000000000001po,0000000000000000001v,000000000000000000at,376,0
000000000000000000op,0000000000000000002h,0000000000000000000o,231,0
000000000000000001v4,00000000000000000088,00000000000000000028,497,0
000000000000000001vy,0000000000000000008q,0000000000000000001q,350,0
000000000000000001of,0000000000000000002k,0000000000000000009f,451,0
000000000000000000jr,000000000000000000ae,0000000000000000003d,426,0
000000000000000001hd,0000000000000000003e,0000000000000000003b,522,0
000000000000000001sl,00000000000000000041,0000000000000000001v,311,0
000000000000000001nw,00000000000000000043,0000000000000000002h,559,0
000000000000000000l4,00000000000000000080,00000000000000000088,243,0
000000000000000001vn,0000000000000000004t,0000000000000000008q,390,0
0000000000000000008i,0000000000000000000w,0000000000000000002k,218,0
000000000000000001jy,000000000000000000bn,000000000000000000ae,378,0
000000000000000001sv,0000000000000000001n,0000000000000000003e,283,0
000000000000000001w3,0000000000000000002n,00000000000000000041,187,0
000000000000000001e8,0000000000000000001j,00000000000000000043,362,0
000000000000000001jc,0000000000000000001m,00000000000000000080,482,0
000000000000000000dx,0000000000000000008u,000000000000000000bt,514,0
000000000000000000zg,0000000000000000005g,0000000000000000004t,202,0
00000000000000000080,0000000000000000001f,0000000000000000000w,405,0
000000000000000001es,0000000000000000008t,000000000000000000bn,509,0
0000000000000000005d,0000000000000000004q,0000000000000000001n,248,0
0000000000000000012c,000000000000000000ao,0000000000000000002n,375,0
0000000000000000011w,0000000000000000007j,000000000000000000bx,205,0
