service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000000000000001b,39,39,39,39,39,39,39,2017-07-19,2018-07-19
00000000000000000021,23,23,23,23,23,23,23,2017-07-11,2018-07-11
0000000000000000000c,19,19,19,19,19,19,19,2017-07-09,2018-07-09
00000000000000000014,38,38,38,38,38,38,38,2017-07-05,2018-07-05
0000000000000000000v,11,11,11,11,11,11,11,2017-07-04,2018-07-04
0000000000000000001a,26,26,26,26,26,26,26,2017-07-02,2018-07-02
0000000000000000001p,9,9,9,9,9,9,9,2017-07-18,2018-07-18
0000000000000000000g,5,5,5,5,5,5,5,2017-07-15,2018-07-15
0000000000000000000t,37,37,37,37,37,37,37,2017-07-10,2018-07-10
0000000000000000002q,4,4,4,4,4,4,4,2017-07-07,2018-07-07
0000000000000000002d,34,34,34,34,34,34,34,2017-07-16,2018-07-16
0000000000000000000j,2,2,2,2,2,2,2,2017-07-17,2018-07-17
0000000000000000002r,20,20,20,20,20,20,20,2017-07-12,2018-07-12
0000000000000000002j,18,18,18,18,18,18,18,2017-07-14,2018-07-14
0000000000000000000b,31,31,31,31,31,31,31,2017-07-03,2018-07-03
0000000000000000000y,21,21,21,21,21,21,21,2017-07-08,2018-07-08
00000000000000000016,22,22,22,22,22,22,22,2017-07-01,2018-07-01
0000000000000000002b,15,15,15,15,15,15,15,2017-07-13,2018-07-13
00000000000000000019,10,10,10,10,10,10,10,2017-06-30,2018-06-30
00000000000000000013,33,33,33,33,33,33,33,2017-07-06,2018-07-06
00000000000000000005,35,35,35,35,35,35,35,2017-07-19,2018-07-19
0000000000000000002p,25,25,25,25,25,25,25,2017-07-11,2018-07-11
0000000000000000001k,29,29,29,29,29,29,29,2017-07-09,2018-07-09
0000000000000000000i,7,7,7,7,7,7,7,2017-07-05,2018-07-05
0000000000000000001o,16,16,16,16,16,16,16,2017-07-04,2018-07-04
00000000000000000002,17,17,17,17,17,17,17,2017-07-02,2018-07-02
0000000000000000001g,24,24,24,24,24,24,24,2017-07-18,2018-07-18
0000000000000000001x,12,12,12,12,12,12,12,2017-07-15,2018-07-15
0000000000000000002m,30,30,30,30,30,30,30,2017-07-10,2018-07-10
0000000000000000000o,14,14,14,14,14,14,14,2017-07-07,2018-07-07
00000000000000000028,3,3,3,3,3,3,3,2017-07-16,2018-07-16
0000000000000000001q,27,27,27,27,27,27,27,2017-07-17,2018-07-17
0000000000000000001v,8,8,8,8,8,8,8,2017-07-12,2018-07-12
0000000000000000002h,36,36,36,36,36,36,36,2017-07-14,2018-07-14
0000000000000000002k,1,1,1,1,1,1,1,2017-07-03,2018-07-03
0000000000000000000w,13,13,13,13,13,13,13,2017-07-08,2018-07-08
0000000000000000001n,32,32,32,32,32,32,32,2017-07-01,2018-07-01
0000000000000000002n,28,28,28,28,28,28,28,2017-07-13,2018-07-13
0000000000000000001j,0,0,0,0,0,0,0,2017-06-30,2018-06-30
0000000000000000001m,6,6,6,6,6,6,6,2017-07-06,2018-07-06
0000000000000000001f,39,39,39,39,39,39,39,2017-07-19,2018-07-19
0000000000000000001r,23,23,23,23,23,23,23,2017-07-11,2018-07-11
00000000000000000012,19,19,19,19,19,19,19,2017-07-09,2018-07-09
00000000000000000007,38,38,38,38,38,38,38,2017-07-05,2018-07-05
