trip_id,start_time,end_time,headway_secs,exact_times
000000000000000000br,0000000000000000001b,0000000000000000001b,229,0
000000000000000000b5,00000000000000000021,00000000000000000030,220,0
0000000000000000009c,0000000000000000000c,00000000000000000021,258,0
00000000000000000033,00000000000000000014,0000000000000000000c,221,0
000000000000000000aa,0000000000000000000v,00000000000000000014,265,0
000000000000000000ez,0000000000000000001a,0000000000000000000v,270,0
00000000000000000037,0000000000000000001p,0000000000000000001a,204,0
0000000000000000001b,0000000000000000000g,0000000000000000001p,247,0
0000000000000000005x,0000000000000000000t,0000000000000000000g,245,0
000000000000000000dp,0000000000000000002q,0000000000000000000t,231,0
0000000000000000008a,0000000000000000002d,0000000000000000002q,234,0
0000000000000000004s,0000000000000000002x,0000000000000000002d,255,0
000000000000000000c4,0000000000000000000j,0000000000000000002x,200,0
0000000000000000006l,0000000000000000002r,0000000000000000000j,219,0
00000000000000000030,0000000000000000002j,0000000000000000002r,251,0
000000000000000000a0,0000000000000000000b,0000000000000000002j,273,0
0000000000000000007r,0000000000000000000y,0000000000000000000b,225,0
0000000000000000005b,00000000000000000016,0000000000000000000y,192,0
00000000000000000021,0000000000000000002b,00000000000000000016,264,0
000000000000000000gx,00000000000000000019,0000000000000000002b,263,0
0000000000000000000c,00000000000000000013,00000000000000000019,256,0
0000000000000000008o,00000000000000000005,00000000000000000013,207,0
00000000000000000014,0000000000000000002p,00000000000000000005,268,0
0000000000000000000v,0000000000000000001k,0000000000000000002p,190,0
0000000000000000008z,0000000000000000000i,0000000000000000001k,250,0
00000000000000000092,0000000000000000001o,0000000000000000000i,266,0
000000000000000000b8,00000000000000000002,0000000000000000001o,253,0
000000000000000000bi,0000000000000000001g,00000000000000000002,186,0
000000000000000000ab,0000000000000000001x,0000000000000000001g,222,0
000000000000000000fp,0000000000000000002m,0000000000000000001x,272,0
000000000000000000fo,0000000000000000000o,0000000000000000002m,218,0
000000000000000000ey,00000000000000000028,0000000000000000000o,244,0
000000000000000000cg,0000000000000000001q,00000000000000000028,224,0
000000000000000000f9,0000000000000000001v,0000000000000000001q,185,0
00000000000000000044,0000000000000000002h,0000000000000000001v,215,0
0000000000000000004d,0000000000000000002k,0000000000000000002h,223,0
0000000000000000001a,0000000000000000000w,0000000000000000002k,267,0
00000000000000000057,0000000000000000001n,0000000000000000000w,183,0
0000000000000000007z,0000000000000000002n,0000000000000000001n,201,0
000000000000000000b3,0000000000000000001j,0000000000000000002n,226,0
0000000000000000007w,0000000000000000001m,0000000000000000001j,199,0
0000000000000000008x,0000000000000000001f,0000000000000000001m,212,0
0000000000000000007m,0000000000000000001r,0000000000000000001f,202,0
0000000000000000001p,00000000000000000012,0000000000000000001r,233,0
000000000000000000g1,0000000000000000002v,00000000000000000012,248,0
000000000000000000g2,00000000000000000007,0000000000000000002v,252,0
0000000000000000006t,0000000000000000000m,00000000000000000007,274,0
0000000000000000008s,0000000000000000001w,0000000000000000000m,232,0
00000000000000000040,0000000000000000000p,0000000000000000001w,241,0
000000000000000000dc,0000000000000000002c,0000000000000000000p,203,0
000000000000000000ac,00000000000000000017,0000000000000000002c,240,0
000000000000000000gf,0000000000000000000r,00000000000000000017,196,0
0000000000000000006f,0000000000000000002i,00000000000000000031,191,0
0000000000000000000g,00000000000000000003,0000000000000000000r,257,0
000000000000000000bk,00000000000000000026,0000000000000000002i,214,0
000000000000000000b6,0000000000000000000a,00000000000000000003,216,0
000000000000000000a2,0000000000000000002t,00000000000000000026,230,0
00000000000000000097,00000000000000000011,0000000000000000000a,227,0
000000000000000000eu,0000000000000000001z,0000000000000000002t,206,0
000000000000000000fc,00000000000000000027,00000000000000000011,261,0
0000000000000000006a,00000000000000000010,0000000000000000001z,242,0
000000000000000000bl,0000000000000000002l,00000000000000000027,210,0
000000000000000000al,00000000000000000004,00000000000000000010,188,0
00000000000000000079,0000000000000000002w,0000000000000000002l,236,0
000000000000000000bq,0000000000000000001c,00000000000000000004,269,0
000000000000000000es,00000000000000000025,0000000000000000002w,197,0
000000000000000000bw,0000000000000000002f,0000000000000000002z,198,0
0000000000000000000t,0000000000000000001h,0000000000000000001c,205,0
000000000000000000c1,0000000000000000001s,00000000000000000025,254,0
0000000000000000004f,00000000000000000015,0000000000000000002f,193,0
0000000000000000002q,0000000000000000001l,0000000000000000001h,271,0
000000000000000000eq,0000000000000000000z,0000000000000000001s,211,0
0000000000000000002d,0000000000000000000x,00000000000000000015,195,0
0000000000000000005c,0000000000000000002u,0000000000000000001l,184,0
000000000000000000hs,00000000000000000024,0000000000000000000z,208,0
000000000000000000ds,0000000000000000000e,0000000000000000000x,275,0
0000000000000000008k,00000000000000000018,00000000000000000032,239,0
