service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000000000000000o,9,9,9,9,9,9,9,2017-07-03,2018-07-03
0000000000000000000k,5,5,5,5,5,5,5,2017-07-04,2018-07-04
0000000000000000000c,4,4,4,4,4,4,4,2017-07-02,2018-07-02
0000000000000000000a,2,2,2,2,2,2,2,2017-06-30,2018-06-30
00000000000000000006,7,7,7,7,7,7,7,2017-07-01,2018-07-01
00000000000000000005,3,3,3,3,3,3,3,2017-07-03,2018-07-03
00000000000000000003,8,8,8,8,8,8,8,2017-07-04,2018-07-04
0000000000000000000l,1,1,1,1,1,1,1,2017-07-02,2018-07-02
0000000000000000000j,0,0,0,0,0,0,0,2017-06-30,2018-06-30
0000000000000000000m,6,6,6,6,6,6,6,2017-07-01,2018-07-01
0000000000000000000n,9,9,9,9,9,9,9,2017-07-03,2018-07-03
0000000000000000000g,5,5,5,5,5,5,5,2017-07-04,2018-07-04
0000000000000000000b,4,4,4,4,4,4,4,2017-07-02,2018-07-02
00000000000000000008,2,2,2,2,2,2,2,2017-06-30,2018-06-30
0000000000000000000h,7,7,7,7,7,7,7,2017-07-01,2018-07-01
0000000000000000000i,3,3,3,3,3,3,3,2017-07-03,2018-07-03
0000000000000000000p,8,8,8,8,8,8,8,2017-07-04,2018-07-04
0000000000000000000d,1,1,1,1,1,1,1,2017-07-02,2018-07-02
0000000000000000000f,0,0,0,0,0,0,0,2017-06-30,2018-06-30
00000000000000000004,6,6,6,6,6,6,6,2017-07-01,2018-07-01
00000000000000000009,9,9,9,9,9,9,9,2017-07-03,2018-07-03
00000000000000000002,5,5,5,5,5,5,5,2017-07-04,2018-07-04
0000000000000000000e,4,4,4,4,4,4,4,2017-07-02,2018-07-02
00000000000000000001,2,2,2,2,2,2,2,2017-06-30,2018-06-30
00000000000000000007,7,7,7,7,7,7,7,2017-07-01,2018-07-01
