service_id,date,exception_type
0000000000000000000o,2017-02-24,9
0000000000000000000k,2017-02-15,5
0000000000000000000c,2017-02-16,4
0000000000000000000a,2017-01-30,2
00000000000000000006,2017-03-14,7
00000000000000000005,2017-03-12,3
00000000000000000003,2017-02-26,8
0000000000000000000l,2017-03-01,1
0000000000000000000j,2017-01-26,0
0000000000000000000m,2017-02-14,6
0000000000000000000n,2017-02-20,9
0000000000000000000g,2017-01-18,5
0000000000000000000b,2017-02-02,4
00000000000000000008,2017-01-16,2
0000000000000000000h,2017-03-17,7
0000000000000000000i,2017-01-12,3
0000000000000000000p,2017-02-17,8
0000000000000000000d,2017-02-13,1
0000000000000000000f,2017-03-11,0
00000000000000000004,2017-02-19,6
00000000000000000009,2017-01-11,9
00000000000000000002,2017-02-10,5
0000000000000000000e,2017-02-18,4
00000000000000000001,2017-01-09,2
00000000000000000007,2017-01-27,7
0000000000000000000o,2017-02-21,3
0000000000000000000k,2017-01-25,8
0000000000000000000c,2017-02-07,1
0000000000000000000a,2017-01-28,0
00000000000000000006,2017-02-28,6
00000000000000000005,2017-03-15,9
00000000000000000003,2017-02-27,5
0000000000000000000l,2017-03-08,4
0000000000000000000j,2017-01-29,2
0000000000000000000m,2017-03-07,7
0000000000000000000n,2017-01-22,3
0000000000000000000g,2017-01-17,8
0000000000000000000b,2017-02-09,1
00000000000000000008,2017-02-11,0
0000000000000000000h,2017-02-25,6
0000000000000000000i,2017-02-22,9
0000000000000000000p,2017-02-01,5
0000000000000000000d,2017-03-09,4
0000000000000000000f,2017-02-05,2
00000000000000000004,2017-01-14,7
00000000000000000009,2017-03-03,3
00000000000000000002,2017-01-23,8
0000000000000000000e,2017-01-24,1
00000000000000000001,2017-01-31,0
00000000000000000007,2017-01-19,6
0000000000000000000o,2017-02-06,9
0000000000000000000k,2017-01-21,5
0000000000000000000c,2017-01-10,4
0000000000000000000a,2017-02-03,2
00000000000000000006,2017-03-06,7
00000000000000000005,2017-01-15,3
00000000000000000003,2017-03-10,8
0000000000000000000l,2017-02-12,1
0000000000000000000j,2017-03-04,0
0000000000000000000m,2017-03-13,6
0000000000000000000n,2017-03-05,9
0000000000000000000g,2017-01-08,5
0000000000000000000b,2017-01-20,4
00000000000000000008,2017-03-02,2
0000000000000000000h,2017-03-16,7
0000000000000000000i,2017-02-23,3
0000000000000000000p,2017-02-08,8
0000000000000000000d,2017-02-04,1
0000000000000000000f,2017-01-07,0
00000000000000000004,2017-01-13,6
00000000000000000009,2017-02-24,9
00000000000000000002,2017-02-15,5
0000000000000000000e,2017-02-16,4
00000000000000000001,2017-01-30,2
00000000000000000007,2017-03-14,7
0000000000000000000o,2017-03-12,3
0000000000000000000k,2017-02-26,8
0000000000000000000c,2017-03-01,1
0000000000000000000a,2017-01-26,0
00000000000000000006,2017-02-14,6
00000000000000000005,2017-02-20,9
00000000000000000003,2017-01-18,5
0000000000000000000l,2017-02-02,4
0000000000000000000j,2017-01-16,2
0000000000000000000m,2017-03-17,7
0000000000000000000n,2017-01-12,3
0000000000000000000g,2017-02-17,8
0000000000000000000b,2017-02-13,1
00000000000000000008,2017-03-11,0
0000000000000000000h,2017-02-19,6
0000000000000000000i,2017-01-11,9
0000000000000000000p,2017-02-10,5
0000000000000000000d,2017-02-18,4
0000000000000000000f,2017-01-09,2
00000000000000000004,2017-01-27,7
00000000000000000009,2017-02-21,3
00000000000000000002,2017-01-25,8
0000000000000000000e,2017-02-07,1
00000000000000000001,2017-01-28,0
00000000000000000007,2017-02-28,6
0000000000000000000o,2017-03-15,9
0000000000000000000k,2017-02-27,5
0000000000000000000c,2017-03-08,4
0000000000000000000a,2017-01-29,2
00000000000000000006,2017-03-07,7
00000000000000000005,2017-01-22,3
00000000000000000003,2017-01-17,8
0000000000000000000l,2017-02-09,1
0000000000000000000j,2017-02-11,0
0000000000000000000m,2017-02-25,6
0000000000000000000n,2017-02-22,9
0000000000000000000g,2017-02-01,5
0000000000000000000b,2017-03-09,4
00000000000000000008,2017-02-05,2
0000000000000000000h,2017-01-14,7
0000000000000000000i,2017-03-03,3
0000000000000000000p,2017-01-23,8
0000000000000000000d,2017-01-24,1
0000000000000000000f,2017-01-31,0
00000000000000000004,2017-01-19,6
00000000000000000009,2017-02-06,9
00000000000000000002,2017-01-21,5
0000000000000000000e,2017-01-10,4
00000000000000000001,2017-02-03,2
00000000000000000007,2017-03-06,7
0000000000000000000o,2017-01-15,3
0000000000000000000k,2017-03-10,8
0000000000000000000c,2017-02-12,1
0000000000000000000a,2017-03-04,0
00000000000000000006,2017-03-13,6
00000000000000000005,2017-03-05,9
00000000000000000003,2017-01-08,5
0000000000000000000l,2017-01-20,4
0000000000000000000j,2017-03-02,2
0000000000000000000m,2017-03-16,7
0000000000000000000n,2017-02-23,3
0000000000000000000g,2017-02-08,8
0000000000000000000b,2017-02-04,1
00000000000000000008,2017-01-07,0
0000000000000000000h,2017-01-13,6
0000000000000000000i,2017-02-24,9
0000000000000000000p,2017-02-15,5
0000000000000000000d,2017-02-16,4
0000000000000000000f,2017-01-30,2
00000000000000000004,2017-03-14,7
00000000000000000009,2017-03-12,3
00000000000000000002,2017-02-26,8
0000000000000000000e,2017-03-01,1
00000000000000000001,2017-01-26,0
00000000000000000007,2017-02-14,6
0000000000000000000o,2017-02-20,9
0000000000000000000k,2017-01-18,5
0000000000000000000c,2017-02-02,4
0000000000000000000a,2017-01-16,2
00000000000000000006,2017-03-17,7
00000000000000000005,2017-01-12,3
00000000000000000003,2017-02-17,8
0000000000000000000l,2017-02-13,1
0000000000000000000j,2017-03-11,0
0000000000000000000m,2017-02-19,6
0000000000000000000n,2017-01-11,9
0000000000000000000g,2017-02-10,5
0000000000000000000b,2017-02-18,4
00000000000000000008,2017-01-09,2
0000000000000000000h,2017-01-27,7
0000000000000000000i,2017-02-21,3
0000000000000000000p,2017-01-25,8
0000000000000000000d,2017-02-07,1
0000000000000000000f,2017-01-28,0
00000000000000000004,2017-02-28,6
00000000000000000009,2017-03-15,9
00000000000000000002,2017-02-27,5
0000000000000000000e,2017-03-08,4
00000000000000000001,2017-01-29,2
00000000000000000007,2017-03-07,7
0000000000000000000o,2017-01-22,3
0000000000000000000k,2017-01-17,8
0000000000000000000c,2017-02-09,1
0000000000000000000a,2017-02-11,0
00000000000000000006,2017-02-25,6
00000000000000000005,2017-02-22,9
00000000000000000003,2017-02-01,5
0000000000000000000l,2017-03-09,4
0000000000000000000j,2017-02-05,2
0000000000000000000m,2017-01-14,7
0000000000000000000n,2017-03-03,3
0000000000000000000g,2017-01-23,8
0000000000000000000b,2017-01-24,1
00000000000000000008,2017-01-31,0
0000000000000000000h,2017-01-19,6
0000000000000000000i,2017-02-06,9
0000000000000000000p,2017-01-21,5
0000000000000000000d,2017-01-10,4
0000000000000000000f,2017-02-03,2
00000000000000000004,2017-03-06,7
00000000000000000009,2017-01-15,3
00000000000000000002,2017-03-10,8
0000000000000000000e,2017-02-12,1
00000000000000000001,2017-03-04,0
00000000000000000007,2017-03-13,6
0000000000000000000o,2017-03-05,9
0000000000000000000k,2017-01-08,5
0000000000000000000c,2017-01-20,4
0000000000000000000a,2017-03-02,2
00000000000000000006,2017-03-16,7
00000000000000000005,2017-02-23,3
00000000000000000003,2017-02-08,8
0000000000000000000l,2017-02-04,1
0000000000000000000j,2017-01-07,0
0000000000000000000m,2017-01-13,6
0000000000000000000n,2017-02-24,9
0000000000000000000g,2017-02-15,5
0000000000000000000b,2017-02-16,4
00000000000000000008,2017-01-30,2
0000000000000000000h,2017-03-14,7
0000000000000000000i,2017-03-12,3
0000000000000000000p,2017-02-26,8
0000000000000000000d,2017-03-01,1
0000000000000000000f,2017-01-26,0
00000000000000000004,2017-02-14,6
00000000000000000009,2017-02-20,9
00000000000000000002,2017-01-18,5
0000000000000000000e,2017-02-02,4
00000000000000000001,2017-01-16,2
00000000000000000007,2017-03-17,7
0000000000000000000o,2017-01-12,3
0000000000000000000k,2017-02-17,8
0000000000000000000c,2017-02-13,1
0000000000000000000a,2017-03-11,0
00000000000000000006,2017-02-19,6
00000000000000000005,2017-01-11,9
00000000000000000003,2017-02-10,5
0000000000000000000l,2017-02-18,4
0000000000000000000j,2017-01-09,2
0000000000000000000m,2017-01-27,7
0000000000000000000n,2017-02-21,3
0000000000000000000g,2017-01-25,8
0000000000000000000b,2017-02-07,1
00000000000000000008,2017-01-28,0
0000000000000000000h,2017-02-28,6
0000000000000000000i,2017-03-15,9
0000000000000000000p,2017-02-27,5
0000000000000000000d,2017-03-08,4
0000000000000000000f,2017-01-29,2
00000000000000000004,2017-03-07,7
00000000000000000009,2017-01-22,3
00000000000000000002,2017-01-17,8
0000000000000000000e,2017-02-09,1
00000000000000000001,2017-02-11,0
00000000000000000007,2017-02-25,6
0000000000000000000o,2017-02-22,9
0000000000000000000k,2017-02-01,5
0000000000000000000c,2017-03-09,4
0000000000000000000a,2017-02-05,2
00000000000000000006,2017-01-14,7
00000000000000000005,2017-03-03,3
00000000000000000003,2017-01-23,8
0000000000000000000l,2017-01-24,1
0000000000000000000j,2017-01-31,0
0000000000000000000m,2017-01-19,6
0000000000000000000n,2017-02-06,9
0000000000000000000g,2017-01-21,5
0000000000000000000b,2017-01-10,4
00000000000000000008,2017-02-03,2
0000000000000000000h,2017-03-06,7
0000000000000000000i,2017-01-15,3
0000000000000000000p,2017-03-10,8
0000000000000000000d,2017-02-12,1
0000000000000000000f,2017-03-04,0
00000000000000000004,2017-03-13,6
00000000000000000009,2017-03-05,9
00000000000000000002,2017-01-08,5
0000000000000000000e,2017-01-20,4
00000000000000000001,2017-03-02,2
00000000000000000007,2017-03-16,7
0000000000000000000o,2017-02-23,3
0000000000000000000k,2017-02-08,8
0000000000000000000c,2017-02-04,1
0000000000000000000a,2017-01-07,0
00000000000000000006,2017-01-13,6
00000000000000000005,2017-02-24,9
00000000000000000003,2017-02-15,5
0000000000000000000l,2017-02-16,4
0000000000000000000j,2017-01-30,2
0000000000000000000m,2017-03-14,7
0000000000000000000n,2017-03-12,3
0000000000000000000g,2017-02-26,8
0000000000000000000b,2017-03-01,1
00000000000000000008,2017-01-26,0
0000000000000000000h,2017-02-14,6
0000000000000000000i,2017-02-20,9
0000000000000000000p,2017-01-18,5
0000000000000000000d,2017-02-02,4
0000000000000000000f,2017-01-16,2
00000000000000000004,2017-03-17,7
00000000000000000009,2017-01-12,3
00000000000000000002,2017-02-17,8
0000000000000000000e,2017-02-13,1
00000000000000000001,2017-03-11,0
00000000000000000007,2017-02-19,6
0000000000000000000o,2017-01-11,9
0000000000000000000k,2017-02-10,5
0000000000000000000c,2017-02-18,4
0000000000000000000a,2017-01-09,2
00000000000000000006,2017-01-27,7
00000000000000000005,2017-02-21,3
00000000000000000003,2017-01-25,8
0000000000000000000l,2017-02-07,1
0000000000000000000j,2017-01-28,0
0000000000000000000m,2017-02-28,6
0000000000000000000n,2017-03-15,9
0000000000000000000g,2017-02-27,5
0000000000000000000b,2017-03-08,4
00000000000000000008,2017-01-29,2
0000000000000000000h,2017-03-07,7
0000000000000000000i,2017-01-22,3
0000000000000000000p,2017-01-17,8
0000000000000000000d,2017-02-09,1
0000000000000000000f,2017-02-11,0
00000000000000000004,2017-02-25,6
00000000000000000009,2017-02-22,9
00000000000000000002,2017-02-01,5
0000000000000000000e,2017-03-09,4
00000000000000000001,2017-02-05,2
00000000000000000007,2017-01-14,7
0000000000000000000o,2017-03-03,3
0000000000000000000k,2017-01-23,8
0000000000000000000c,2017-01-24,1
0000000000000000000a,2017-01-31,0
00000000000000000006,2017-01-19,6
00000000000000000005,2017-02-06,9
00000000000000000003,2017-01-21,5
0000000000000000000l,2017-01-10,4
0000000000000000000j,2017-02-03,2
0000000000000000000m,2017-03-06,7
0000000000000000000n,2017-01-15,3
0000000000000000000g,2017-03-10,8
0000000000000000000b,2017-02-12,1
00000000000000000008,2017-03-04,0
0000000000000000000h,2017-03-13,6
0000000000000000000i,2017-03-05,9
0000000000000000000p,2017-01-08,5
0000000000000000000d,2017-01-20,4
0000000000000000000f,2017-03-02,2
00000000000000000004,2017-03-16,7
00000000000000000009,2017-02-23,3
