route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
0000000000000000001d,0000000000000000000o,000000000000000000br,00000000000000000033,00000000000000000033,9,000000000000000000br,00000000000000000033,4
00000000000000000014,0000000000000000000k,000000000000000000b5,00000000000000000037,00000000000000000037,5,000000000000000000b5,00000000000000000037,5
00000000000000000015,0000000000000000000c,0000000000000000009c,0000000000000000001b,0000000000000000001b,4,0000000000000000009c,0000000000000000001b,3
0000000000000000000o,0000000000000000000a,00000000000000000033,00000000000000000030,00000000000000000030,2,00000000000000000033,00000000000000000030,1
0000000000000000001t,00000000000000000006,000000000000000000aa,00000000000000000021,00000000000000000021,7,000000000000000000aa,00000000000000000021,2
0000000000000000001f,00000000000000000005,000000000000000000ez,0000000000000000000c,0000000000000000000c,3,000000000000000000ez,0000000000000000000c,4
0000000000000000001i,00000000000000000003,00000000000000000037,00000000000000000014,00000000000000000014,8,00000000000000000037,00000000000000000014,5
0000000000000000000k,0000000000000000000l,0000000000000000001b,0000000000000000000v,0000000000000000000v,1,0000000000000000001b,0000000000000000000v,3
00000000000000000013,0000000000000000000j,0000000000000000005x,0000000000000000001a,0000000000000000001a,0,0000000000000000005x,00000000000000000044,1
00000000000000000019,0000000000000000000m,000000000000000000dp,0000000000000000001p,0000000000000000001p,6,000000000000000000dp,0000000000000000004d,2
0000000000000000000c,0000000000000000000n,0000000000000000008a,0000000000000000000g,0000000000000000000g,9,0000000000000000008a,0000000000000000001a,4
0000000000000000000r,0000000000000000000g,0000000000000000004s,0000000000000000000t,0000000000000000000t,5,0000000000000000004s,0000000000000000001p,5
0000000000000000000a,0000000000000000000b,000000000000000000c4,0000000000000000002q,0000000000000000002q,4,000000000000000000c4,00000000000000000040,3
00000000000000000006,00000000000000000008,0000000000000000006l,0000000000000000002d,0000000000000000002d,2,0000000000000000006l,0000000000000000000g,1
00000000000000000016,0000000000000000000h,00000000000000000030,0000000000000000003f,0000000000000000002x,7,00000000000000000030,0000000000000000000t,2
00000000000000000012,0000000000000000000i,000000000000000000a0,0000000000000000002x,0000000000000000000j,3,000000000000000000a0,0000000000000000004f,4
0000000000000000001s,0000000000000000000p,0000000000000000007r,0000000000000000000j,0000000000000000002r,8,0000000000000000007r,0000000000000000002q,5
00000000000000000018,0000000000000000000d,0000000000000000005b,0000000000000000002r,0000000000000000002j,1,0000000000000000005b,0000000000000000002d,3
00000000000000000005,0000000000000000000f,00000000000000000021,0000000000000000002j,0000000000000000000b,0,00000000000000000021,0000000000000000003f,1
0000000000000000000z,00000000000000000004,000000000000000000gx,0000000000000000000b,0000000000000000000y,6,000000000000000000gx,0000000000000000002x,2
00000000000000000017,00000000000000000009,0000000000000000000c,0000000000000000000y,00000000000000000016,9,0000000000000000000c,0000000000000000000j,4
00000000000000000003,00000000000000000002,0000000000000000008o,00000000000000000016,0000000000000000002b,5,0000000000000000008o,0000000000000000002r,5
