route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
0000000000000000001d,00000000000000000004,0000000000000000001d,0000000000000000001d,0000000000000000001d,4,0000000000000000001d,0000000000000000001d,0000000000000000000c
00000000000000000014,00000000000000000005,00000000000000000014,00000000000000000014,00000000000000000014,5,00000000000000000014,00000000000000000014,0000000000000000000a
00000000000000000015,00000000000000000003,00000000000000000015,00000000000000000015,00000000000000000015,3,00000000000000000015,00000000000000000015,00000000000000000006
0000000000000000000o,00000000000000000001,0000000000000000000o,0000000000000000000o,0000000000000000000o,1,0000000000000000000o,0000000000000000000o,00000000000000000005
0000000000000000001t,00000000000000000002,0000000000000000001t,0000000000000000001t,0000000000000000001t,2,0000000000000000001t,0000000000000000001t,00000000000000000003
0000000000000000001f,00000000000000000004,0000000000000000001f,0000000000000000001f,0000000000000000001f,4,0000000000000000001f,0000000000000000001f,0000000000000000000b
0000000000000000001i,00000000000000000005,0000000000000000001i,0000000000000000001i,0000000000000000001i,5,0000000000000000001i,0000000000000000001i,00000000000000000008
0000000000000000000k,00000000000000000003,0000000000000000000k,0000000000000000000k,0000000000000000000k,3,0000000000000000000k,0000000000000000000k,0000000000000000000d
00000000000000000013,00000000000000000001,00000000000000000013,00000000000000000013,00000000000000000013,1,00000000000000000013,00000000000000000013,0000000000000000000f
00000000000000000019,00000000000000000002,00000000000000000019,00000000000000000019,00000000000000000019,2,00000000000000000019,00000000000000000019,00000000000000000004
0000000000000000000c,00000000000000000004,0000000000000000000c,0000000000000000000c,0000000000000000000c,4,0000000000000000000c,0000000000000000000c,00000000000000000009
0000000000000000000r,00000000000000000005,0000000000000000000r,0000000000000000000r,0000000000000000000r,5,0000000000000000000r,0000000000000000000r,00000000000000000002
0000000000000000000a,00000000000000000003,0000000000000000000a,0000000000000000000a,0000000000000000000a,3,0000000000000000000a,0000000000000000000a,0000000000000000000e
00000000000000000006,00000000000000000001,00000000000000000006,00000000000000000006,00000000000000000006,1,00000000000000000006,00000000000000000006,00000000000000000001
00000000000000000016,00000000000000000002,00000000000000000016,00000000000000000016,00000000000000000016,2,00000000000000000016,00000000000000000016,00000000000000000007
00000000000000000012,00000000000000000004,00000000000000000012,00000000000000000012,00000000000000000012,4,00000000000000000012,00000000000000000012,0000000000000000000c
0000000000000000001s,00000000000000000005,0000000000000000001s,0000000000000000001s,0000000000000000001s,5,0000000000000000001s,0000000000000000001s,0000000000000000000a
00000000000000000018,00000000000000000003,00000000000000000018,00000000000000000018,00000000000000000018,3,00000000000000000018,00000000000000000018,00000000000000000006
00000000000000000005,00000000000000000001,00000000000000000005,00000000000000000005,00000000000000000005,1,00000000000000000005,00000000000000000005,00000000000000000005
0000000000000000000z,00000000000000000002,0000000000000000000z,0000000000000000000z,0000000000000000000z,2,0000000000000000000z,0000000000000000000z,00000000000000000003
00000000000000000017,00000000000000000004,00000000000000000017,00000000000000000017,00000000000000000017,4,00000000000000000017,00000000000000000017,0000000000000000000b
00000000000000000003,00000000000000000005,00000000000000000003,00000000000000000003,00000000000000000003,5,00000000000000000003,00000000000000000003,00000000000000000008
0000000000000000000l,00000000000000000003,0000000000000000000l,0000000000000000000l,0000000000000000000l,3,0000000000000000000l,0000000000000000000l,0000000000000000000d
0000000000000000001a,00000000000000000001,0000000000000000001a,0000000000000000001a,0000000000000000001a,1,0000000000000000001a,0000000000000000001a,0000000000000000000f
0000000000000000000j,00000000000000000002,0000000000000000000j,0000000000000000000j,0000000000000000000j,2,0000000000000000000j,0000000000000000000j,00000000000000000004
0000000000000000000w,00000000000000000004,0000000000000000000w,0000000000000000000w,0000000000000000000w,4,0000000000000000000w,0000000000000000000w,00000000000000000009
0000000000000000000m,00000000000000000005,0000000000000000000m,0000000000000000000m,0000000000000000000m,5,0000000000000000000m,0000000000000000000m,00000000000000000002
0000000000000000001h,00000000000000000003,0000000000000000001h,0000000000000000001h,0000000000000000001h,3,0000000000000000001h,0000000000000000001h,0000000000000000000e
0000000000000000001g,00000000000000000001,0000000000000000001g,0000000000000000001g,0000000000000000001g,1,0000000000000000001g,0000000000000000001g,00000000000000000001
0000000000000000001p,00000000000000000002,0000000000000000001p,0000000000000000001p,0000000000000000001p,2,0000000000000000001p,0000000000000000001p,00000000000000000007
0000000000000000000n,00000000000000000004,0000000000000000000n,0000000000000000000n,0000000000000000000n,4,0000000000000000000n,0000000000000000000n,0000000000000000000c
0000000000000000001o,00000000000000000005,0000000000000000001o,0000000000000000001o,0000000000000000001o,5,0000000000000000001o,0000000000000000001o,0000000000000000000a
0000000000000000000g,00000000000000000003,0000000000000000000g,0000000000000000000g,0000000000000000000g,3,0000000000000000000g,0000000000000000000g,00000000000000000006
0000000000000000000b,00000000000000000001,0000000000000000000b,0000000000000000000b,0000000000000000000b,1,0000000000000000000b,0000000000000000000b,00000000000000000005
0000000000000000000y,00000000000000000002,0000000000000000000y,0000000000000000000y,0000000000000000000y,2,0000000000000000000y,0000000000000000000y,00000000000000000003
00000000000000000010,00000000000000000004,00000000000000000010,00000000000000000010,00000000000000000010,4,00000000000000000010,00000000000000000010,0000000000000000000b
0000000000000000001e,00000000000000000005,0000000000000000001e,0000000000000000001e,0000000000000000001e,5,0000000000000000001e,0000000000000000001e,00000000000000000008
0000000000000000001b,00000000000000000003,0000000000000000001b,0000000000000000001b,0000000000000000001b,3,0000000000000000001b,0000000000000000001b,0000000000000000000d
0000000000000000000q,00000000000000000001,0000000000000000000q,0000000000000000000q,0000000000000000000q,1,0000000000000000000q,0000000000000000000q,0000000000000000000f
0000000000000000001q,00000000000000000002,0000000000000000001q,0000000000000000001q,0000000000000000001q,2,0000000000000000001q,0000000000000000001q,00000000000000000004
0000000000000000000u,00000000000000000004,0000000000000000000u,0000000000000000000u,0000000000000000000u,4,0000000000000000000u,0000000000000000000u,00000000000000000009
00000000000000000008,00000000000000000005,00000000000000000008,00000000000000000008,00000000000000000008,5,00000000000000000008,00000000000000000008,00000000000000000002
0000000000000000001k,00000000000000000003,0000000000000000001k,0000000000000000001k,0000000000000000001k,3,0000000000000000001k,0000000000000000001k,0000000000000000000e
0000000000000000000h,00000000000000000001,0000000000000000000h,0000000000000000000h,0000000000000000000h,1,0000000000000000000h,0000000000000000000h,00000000000000000001
0000000000000000000i,00000000000000000002,0000000000000000000i,0000000000000000000i,0000000000000000000i,2,0000000000000000000i,0000000000000000000i,00000000000000000007
0000000000000000000p,00000000000000000004,0000000000000000000p,0000000000000000000p,0000000000000000000p,4,0000000000000000000p,0000000000000000000p,0000000000000000000c
0000000000000000000d,00000000000000000005,0000000000000000000d,0000000000000000000d,0000000000000000000d,5,0000000000000000000d,0000000000000000000d,0000000000000000000a
0000000000000000000v,00000000000000000003,0000000000000000000v,0000000000000000000v,0000000000000000000v,3,0000000000000000000v,0000000000000000000v,00000000000000000006
0000000000000000000f,00000000000000000001,0000000000000000000f,0000000000000000000f,0000000000000000000f,1,0000000000000000000f,0000000000000000000f,00000000000000000005
00000000000000000004,00000000000000000002,00000000000000000004,00000000000000000004,00000000000000000004,2,00000000000000000004,00000000000000000004,00000000000000000003
0000000000000000000s,00000000000000000004,0000000000000000000s,0000000000000000000s,0000000000000000000s,4,0000000000000000000s,0000000000000000000s,0000000000000000000b
0000000000000000001n,00000000000000000005,0000000000000000001n,0000000000000000001n,0000000000000000001n,5,0000000000000000001n,0000000000000000001n,00000000000000000008
00000000000000000009,00000000000000000003,00000000000000000009,00000000000000000009,00000000000000000009,3,00000000000000000009,00000000000000000009,0000000000000000000d
0000000000000000001r,00000000000000000001,0000000000000000001r,0000000000000000001r,0000000000000000001r,1,0000000000000000001r,0000000000000000001r,0000000000000000000f
00000000000000000011,00000000000000000002,00000000000000000011,00000000000000000011,00000000000000000011,2,00000000000000000011,00000000000000000011,00000000000000000004
0000000000000000001l,00000000000000000004,0000000000000000001l,0000000000000000001l,0000000000000000001l,4,0000000000000000001l,0000000000000000001l,00000000000000000009
0000000000000000001m,00000000000000000005,0000000000000000001m,0000000000000000001m,0000000000000000001m,5,0000000000000000001m,0000000000000000001m,00000000000000000002
00000000000000000002,00000000000000000003,00000000000000000002,00000000000000000002,00000000000000000002,3,00000000000000000002,00000000000000000002,0000000000000000000e
0000000000000000000e,00000000000000000001,0000000000000000000e,0000000000000000000e,0000000000000000000e,1,0000000000000000000e,0000000000000000000e,00000000000000000001
0000000000000000001j,00000000000000000002,0000000000000000001j,0000000000000000001j,0000000000000000001j,2,0000000000000000001j,0000000000000000001j,00000000000000000007
0000000000000000001c,00000000000000000004,0000000000000000001c,0000000000000000001c,0000000000000000001c,4,0000000000000000001c,0000000000000000001c,0000000000000000000c
0000000000000000000x,00000000000000000005,0000000000000000000x,0000000000000000000x,0000000000000000000x,5,0000000000000000000x,0000000000000000000x,0000000000000000000a
0000000000000000000t,00000000000000000003,0000000000000000000t,0000000000000000000t,0000000000000000000t,3,0000000000000000000t,0000000000000000000t,00000000000000000006
00000000000000000001,00000000000000000001,00000000000000000001,00000000000000000001,00000000000000000001,1,00000000000000000001,00000000000000000001,00000000000000000005
00000000000000000007,00000000000000000002,00000000000000000007,00000000000000000007,00000000000000000007,2,00000000000000000007,00000000000000000007,00000000000000000003
