trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
000000000000000000br,000000000000000000dz,000000000000000000dz,000000000000000000dz,,000000000000000006i5,3,3,8429
000000000000000000b5,00000000000000000124,00000000000000000124,00000000000000000124,,000000000000000007td,4,4,10129
0000000000000000009c,000000000000000000os,000000000000000000os,000000000000000000os,,000000000000000001aa,2,2,1666
00000000000000000033,00000000000000000201,00000000000000000201,00000000000000000099,,000000000000000002fs,0,0,3160
000000000000000000aa,00000000000000000099,00000000000000000099,000000000000000000gv,,0000000000000000055k,1,1,6680
000000000000000000ez,000000000000000001g4,000000000000000001g4,000000000000000000i2,,0000000000000000017z,3,3,1583
00000000000000000037,000000000000000000gv,000000000000000000gv,000000000000000000to,,0000000000000000033z,4,4,4031
0000000000000000001b,0000000000000000015e,0000000000000000015e,00000000000000000117,,000000000000000006av,2,2,8167
0000000000000000005x,000000000000000000i2,000000000000000000i2,00000000000000000036,,000000000000000001n6,0,0,2130
000000000000000000dp,000000000000000000to,000000000000000000to,000000000000000000mk,,0000000000000000084n,1,1,10535
0000000000000000008a,00000000000000000117,00000000000000000117,000000000000000000ud,,000000000000000004hi,3,3,5814
0000000000000000004s,00000000000000000036,00000000000000000036,000000000000000000tm,,000000000000000005cy,4,4,6946
000000000000000000c4,00000000000000000224,00000000000000000224,000000000000000000o4,,000000000000000003nk,2,2,4736
0000000000000000006l,000000000000000000mk,000000000000000000mk,000000000000000000wp,,000000000000000008o2,0,0,11234
00000000000000000030,000000000000000000ud,000000000000000000ud,000000000000000000lh,,0000000000000000042g,1,1,5272
000000000000000000a0,000000000000000001ll,000000000000000001ll,0000000000000000005r,,0000000000000000057u,3,3,6762
0000000000000000007r,000000000000000001pr,000000000000000001pr,0000000000000000001r,,000000000000000002ja,4,4,3286
0000000000000000005b,000000000000000000tm,000000000000000000tm,00000000000000000140,,000000000000000006bm,2,2,8194
00000000000000000021,000000000000000000o4,000000000000000000o4,000000000000000000qt,,00000000000000000311,0,0,3925
000000000000000000gx,000000000000000000wp,000000000000000000wp,000000000000000000pm,,0000000000000000017y,1,1,1582
0000000000000000000c,000000000000000001jb,000000000000000001jb,0000000000000000010d,,000000000000000002mq,3,3,3410
0000000000000000008o,0000000000000000018y,0000000000000000018y,0000000000000000004y,,0000000000000000084x,4,4,10545
00000000000000000014,000000000000000000lh,000000000000000000lh,000000000000000000dr,,00000000000000000210,2,2,2628
0000000000000000000v,000000000000000001o8,000000000000000001o8,0000000000000000000j,,0000000000000000017r,0,0,1575
0000000000000000008z,0000000000000000016i,0000000000000000016i,000000000000000000v5,,000000000000000005h9,1,1,7101
00000000000000000092,0000000000000000005r,0000000000000000005r,000000000000000000e4,,000000000000000005wo,3,3,7656
000000000000000000b8,000000000000000001pa,000000000000000001pa,000000000000000000y8,,0000000000000000039j,4,4,4231
000000000000000000bi,0000000000000000001r,0000000000000000001r,00000000000000000073,,000000000000000008j0,2,2,11052
000000000000000000ab,000000000000000001ac,000000000000000001ac,0000000000000000007q,,000000000000000004c4,0,0,5620
000000000000000000fp,000000000000000001qg,000000000000000001qg,000000000000000000i9,,000000000000000004ra,1,1,6166
000000000000000000fo,000000000000000001yl,000000000000000001yl,000000000000000000kx,,0000000000000000058n,3,3,6791
000000000000000000ey,000000000000000001v5,000000000000000001v5,0000000000000000006o,,0000000000000000092o,4,4,11760
000000000000000000cg,000000000000000001xl,000000000000000001xl,000000000000000000vy,,0000000000000000087t,2,2,10649
000000000000000000f9,00000000000000000140,00000000000000000140,0000000000000000009q,,000000000000000007o2,0,0,9938
00000000000000000044,000000000000000000qt,000000000000000000qt,000000000000000000ho,,000000000000000003ss,1,1,4924
0000000000000000004d,000000000000000001mc,000000000000000001mc,000000000000000000k1,,000000000000000002fj,3,3,3151
0000000000000000001a,000000000000000000pm,000000000000000000pm,00000000000000000122,,000000000000000002f6,4,4,3138
00000000000000000057,000000000000000001d5,000000000000000001d5,000000000000000000li,,000000000000000003zf,2,2,5163
0000000000000000007z,0000000000000000010d,0000000000000000010d,000000000000000000xj,,0000000000000000072k,0,0,9164
000000000000000000b3,0000000000000000004y,0000000000000000004y,000000000000000000wc,,0000000000000000021l,1,1,2649
0000000000000000007w,000000000000000000dr,000000000000000000dr,000000000000000000x9,,00000000000000000104,3,3,1300
0000000000000000008x,000000000000000001gj,000000000000000001gj,000000000000000000fy,,000000000000000008th,4,4,11429
0000000000000000007m,0000000000000000015g,0000000000000000015g,000000000000000000wy,,0000000000000000062t,2,2,7877
